Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
2pin_block_plug,91.6,98.9,95.5,91.2,65.3,60.9,80.0,64.2,52.8,30.1,97.6,99.7,97.3,37.5,25.0,0.0
3_adapter,90.7,98.6,95.3,98.3,64.8,61.4,88.7,65.4,45.7,31.5,92.6,98.9,96.1,52.0,28.0,16.0
3pin_aviation_connector,72.6,95.7,93.6,93.9,52.0,50.3,74.7,97.7,91.7,84.2,71.9,95.8,94.0,96.0,92.0,80.0
4_wire_stepping_motor,74.8,96.5,94.1,71.0,1.5,4.5,42.0,98.4,95.2,86.4,92.1,99.0,95.0,80.0,52.0,40.0
D-sub-connector,94.2,99.0,95.8,96.0,62.4,62.3,84.2,46.1,27.7,17.7,97.8,99.6,99.2,8.0,8.0,4.0
DVD_switch,91.3,98.7,96.6,86.0,39.8,40.6,70.1,46.4,32.8,28.8,94.9,99.3,97.5,32.0,20.0,16.0
LED_indicator,77.3,96.0,94.1,85.2,18.8,31.4,62.7,84.0,73.6,54.4,84.0,97.7,94.1,96.0,68.0,48.0
PLCC_socket,83.6,97.8,94.3,98.3,84.2,80.5,82.9,94.4,86.4,63.2,92.4,99.0,94.9,76.0,48.0,12.0
VR_joystick,85.6,97.0,92.6,98.1,67.0,63.6,89.9,78.2,64.7,44.1,90.2,98.4,96.6,40.0,24.0,20.0
access_card,86.7,97.6,95.6,66.1,14.5,23.0,76.9,63.2,45.6,32.8,79.3,96.6,94.9,76.0,52.0,52.0
accurate_detection_switch,86.7,98.1,94.5,91.6,59.6,58.3,78.3,80.5,64.8,43.8,91.6,98.9,96.5,41.7,33.3,29.2
aircraft_model_head,96.2,99.4,97.7,97.4,73.0,74.3,87.7,28.2,19.8,12.2,99.1,99.9,98.3,16.0,0.0,0.0
