Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
2pin_block_plug,94.7,99.3,96.8,92.9,70.6,65.2,84.2,39.8,25.2,18.7,98.4,99.8,98.0,25.0,4.2,4.2
3_adapter,92.2,98.8,95.4,98.6,65.0,60.5,89.6,59.1,43.3,26.8,94.5,99.2,97.5,32.0,12.0,12.0
3pin_aviation_connector,76.8,96.5,93.6,94.0,54.8,54.0,75.5,97.7,88.7,77.4,76.9,96.6,94.1,84.0,76.0,76.0
4_wire_stepping_motor,78.0,97.0,94.2,71.2,1.8,4.9,44.3,92.8,89.6,74.4,94.0,99.3,95.2,68.0,48.0,16.0
D-sub-connector,94.2,99.0,95.6,96.0,63.8,64.2,84.9,63.8,29.1,10.6,97.9,99.6,99.5,4.0,4.0,4.0
DVD_switch,92.8,98.9,97.0,86.4,39.4,39.8,71.0,35.2,26.4,24.0,96.5,99.4,99.0,12.0,12.0,8.0
LED_indicator,84.2,97.7,94.1,84.3,22.4,34.2,62.3,92.8,79.2,52.0,88.1,98.4,94.8,72.0,56.0,52.0
PLCC_socket,87.4,98.3,94.3,98.7,85.8,80.9,86.8,88.0,76.8,53.6,94.1,99.2,96.6,48.0,36.0,24.0
VR_joystick,86.8,97.2,93.2,98.4,67.7,62.9,91.0,71.8,54.7,38.2,92.4,98.7,97.5,32.0,20.0,16.0
access_card,93.3,99.0,96.4,66.3,17.6,26.2,78.4,45.6,28.8,19.2,91.8,98.8,97.0,44.0,28.0,28.0
accurate_detection_switch,89.4,98.5,94.7,92.4,61.6,59.3,80.9,75.8,53.9,35.9,93.5,99.1,97.0,37.5,29.2,20.8
aircraft_model_head,96.6,99.5,98.3,97.5,72.6,74.1,88.0,21.4,16.0,9.9,99.1,99.9,98.3,20.0,4.0,0.0
angled_toggle_switch,92.6,98.9,95.8,87.0,25.6,32.9,61.5,55.5,39.1,17.2,96.8,99.6,98.0,24.0,20.0,16.0
audio_jack_socket,75.4,92.3,91.4,83.7,1.5,3.4,46.5,81.4,69.6,56.7,84.8,97.4,94.9,76.0,52.0,32.0
bag_buckle,95.4,99.4,96.8,99.6,78.5,74.7,97.5,38.4,20.0,15.2,96.8,99.6,96.5,48.0,28.0,4.0
ball_pin,96.2,99.5,96.4,99.3,69.7,62.6,95.8,46.0,30.2,11.1,99.5,99.9,99.0,8.0,4.0,0.0
balun_transformer,82.7,96.7,91.7,95.9,74.3,72.1,69.5,94.2,83.1,65.7,89.7,98.5,95.2,64.0,44.0,28.0
battery,70.3,93.2,94.0,88.4,16.7,22.2,58.3,92.2,82.9,68.2,76.8,94.7,94.3,84.0,76.0,48.0
battery_holder_connector,88.9,98.4,95.1,87.7,39.1,38.3,77.9,62.8,48.1,36.4,97.3,99.6,97.5,28.0,12.0,12.0
battery_socket_connector,68.1,93.0,92.7,88.8,42.9,42.7,61.1,89.6,83.4,79.1,86.3,98.1,94.6,88.0,72.0,44.0
bend_connector,87.5,97.9,93.4,92.2,44.8,47.2,69.3,83.3,63.9,38.9,94.9,99.2,97.3,32.0,24.0,16.0
blade_switch,90.7,98.4,96.3,95.3,56.4,57.3,75.4,44.0,33.6,22.4,90.5,98.4,97.8,32.0,28.0,24.0
blue_light_switch,72.5,92.5,92.7,84.6,21.7,32.2,66.4,90.9,79.9,71.4,64.2,91.9,94.5,92.0,88.0,76.0
bluetooth_module,93.6,99.2,95.8,94.9,69.4,63.4,82.3,62.4,36.8,23.2,96.7,99.6,97.0,36.0,28.0,4.0
boost_converter_module,80.5,95.6,91.7,93.5,67.8,64.4,68.8,82.9,74.0,59.7,85.5,97.8,94.9,72.0,64.0,40.0
bread_model,84.9,97.2,93.0,96.7,65.7,66.8,87.4,82.2,67.1,52.0,88.4,98.3,96.4,60.0,48.0,32.0
brooch_clasp_accessory,99.0,99.9,98.4,98.0,77.8,75.9,93.0,8.7,1.4,0.7,100.0,100.0,100.0,0.0,0.0,0.0
button_battery_holder,88.9,98.3,95.2,91.3,42.8,45.0,75.7,68.0,45.3,32.0,88.1,98.3,95.4,72.0,64.0,36.0
button_motor,96.8,99.6,96.9,97.7,75.1,73.3,84.3,37.6,18.4,6.4,97.8,99.7,98.5,12.0,8.0,4.0
button_switch,91.6,99.0,94.1,99.3,86.7,80.6,82.5,87.2,76.0,27.2,99.6,99.9,99.3,4.0,0.0,0.0
car_door_lock_switch,79.3,96.7,94.1,93.3,54.8,53.5,76.3,84.0,72.8,60.0,73.6,95.7,94.1,100.0,76.0,52.0
ceramic_fuse,77.2,96.2,94.2,91.3,29.5,36.1,75.5,91.2,90.4,72.8,91.4,98.1,97.8,28.0,24.0,16.0
ceramic_wave_filter,91.6,98.7,95.5,90.9,56.5,60.4,73.4,57.6,47.2,26.4,94.6,99.2,97.8,24.0,16.0,16.0
charging_port,88.2,98.1,94.4,89.5,40.4,39.6,77.4,70.4,53.3,40.7,96.3,99.5,98.0,32.0,24.0,12.0
chip-inductor,85.1,97.8,94.7,89.2,44.6,42.4,79.4,71.4,56.3,44.4,88.7,98.4,94.9,76.0,52.0,36.0
circuit_breaker,92.7,99.0,95.9,98.2,74.0,69.7,87.9,52.8,40.2,25.2,99.3,99.9,99.0,4.0,4.0,4.0
circular_aviation_connector,67.7,89.1,87.6,67.6,13.1,19.0,41.1,96.0,92.7,84.3,90.6,98.6,95.6,60.0,48.0,32.0
common-mode-choke,75.7,92.9,91.4,96.7,63.4,60.7,83.9,85.0,68.4,57.2,81.3,97.1,94.5,80.0,64.0,52.0
common-mode-filter,94.0,99.1,96.6,93.6,44.2,43.3,76.2,42.0,26.0,19.8,96.2,99.5,97.5,24.0,20.0,16.0
connector,92.5,98.9,94.7,86.7,64.0,60.7,75.9,69.2,48.5,24.6,97.5,99.7,96.8,44.0,24.0,0.0
connector_housing-female,94.9,99.1,97.1,87.3,48.9,52.3,81.9,31.0,21.4,12.7,96.4,99.5,98.3,20.0,16.0,16.0
