Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
little_cow_model,67.7,91.4,92.4,96.5,41.5,47.7,82.1,86.5,81.6,75.5,65.8,93.5,94.1,100.0,100.0,84.0
lock,93.6,98.9,96.2,86.8,42.8,45.2,66.0,41.0,30.2,19.4,96.0,99.3,98.8,20.0,12.0,8.0
long-zipper,91.4,98.7,94.5,85.8,13.4,15.3,79.4,73.7,48.2,29.2,96.7,99.6,97.3,28.0,20.0,8.0
meteor_hammer_arrowhead,81.4,96.3,91.9,97.1,63.6,61.8,87.3,90.7,76.2,62.2,93.9,99.2,95.8,56.0,32.0,16.0
miniature_laser_module,78.4,95.1,94.6,95.6,30.0,41.9,85.5,79.4,53.2,42.1,74.1,94.2,94.3,84.0,84.0,52.0
miniature_lifting_motor,76.5,96.5,94.0,97.7,77.4,76.6,72.2,95.3,85.9,73.4,74.9,96.3,94.3,80.0,76.0,72.0
miniature_motor,78.6,95.8,95.4,98.3,58.0,57.0,85.8,61.8,51.2,42.3,85.6,97.9,96.6,45.8,45.8,45.8
miniature_stepper_motor,88.4,98.4,94.5,93.0,62.4,59.3,72.3,76.8,59.2,42.4,95.5,99.4,97.0,44.0,20.0,12.0
mobile_charging_connector,89.3,98.5,95.1,97.8,80.2,75.7,85.5,68.0,53.6,35.2,90.5,98.7,95.9,60.0,56.0,40.0
model_steering_module,89.6,98.0,93.2,99.1,57.6,61.9,90.1,69.4,51.2,36.5,90.4,98.7,96.1,56.0,48.0,36.0
monitor_socket,89.6,98.5,95.3,98.4,76.1,68.7,89.0,60.2,47.7,35.2,88.8,98.4,95.6,68.0,52.0,48.0
motor_bracket,85.5,97.9,94.2,96.4,72.6,68.3,78.6,80.3,64.6,48.0,90.6,98.7,95.3,72.0,40.0,36.0
motor_gear_reducer,71.0,94.9,93.7,80.5,15.0,21.6,63.7,97.0,91.7,74.4,74.7,96.0,94.1,88.0,84.0,80.0
motor_plug,88.6,98.1,95.9,97.7,76.2,72.4,89.7,56.2,39.2,29.2,96.8,99.6,97.6,36.0,20.0,16.0
