Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
2pin_block_plug,94.7,99.3,96.8,92.9,70.6,65.2,84.2,39.8,25.2,18.7,98.4,99.8,98.0,25.0,4.2,4.2
3_adapter,89.7,98.5,95.0,98.5,64.9,61.0,89.3,68.5,49.6,33.1,91.7,98.8,96.4,56.0,36.0,24.0
3pin_aviation_connector,73.5,95.9,93.6,93.9,52.3,50.5,75.0,96.2,92.5,80.5,73.7,96.0,94.3,96.0,84.0,72.0
4_wire_stepping_motor,74.4,96.4,94.1,71.1,2.0,5.2,43.2,99.2,93.6,83.2,91.5,98.9,94.8,80.0,64.0,32.0
D-sub-connector,94.2,99.0,95.4,96.2,64.0,64.2,84.7,61.7,34.0,12.1,97.9,99.6,99.5,4.0,4.0,4.0
DVD_switch,91.2,98.7,96.5,86.3,39.5,40.0,70.6,42.4,32.8,26.4,95.1,99.3,97.3,28.0,20.0,20.0
LED_indicator,81.3,97.1,94.1,84.1,19.9,32.4,61.9,93.6,80.0,55.2,87.5,98.4,94.9,80.0,72.0,68.0
PLCC_socket,86.6,98.2,94.2,98.5,85.1,80.7,85.1,92.8,80.8,53.6,94.1,99.2,96.6,44.0,32.0,16.0
VR_joystick,87.5,97.4,93.1,98.3,67.9,63.7,90.8,75.9,53.5,38.8,92.7,98.8,97.5,28.0,20.0,16.0
access_card,91.4,98.7,96.2,66.6,16.9,25.5,77.7,46.4,35.2,27.2,89.9,98.6,96.3,52.0,40.0,40.0
accurate_detection_switch,86.9,98.1,94.4,91.9,60.2,58.5,79.2,82.0,64.8,48.4,91.6,98.8,96.8,41.7,33.3,25.0
aircraft_model_head,96.4,99.5,98.0,97.5,73.0,74.2,87.8,23.7,19.1,13.0,99.1,99.9,98.3,20.0,0.0,0.0
angled_toggle_switch,90.1,98.4,95.7,86.9,24.8,32.2,61.2,54.7,37.5,26.6,94.3,99.2,97.0,32.0,28.0,16.0
audio_jack_socket,74.8,92.3,91.1,83.8,1.5,3.4,46.8,85.6,73.2,57.7,83.0,97.1,95.0,72.0,60.0,48.0
