Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
accurate_detection_switch,86.5 ± 0.4,98.0 ± 0.1,94.3 ± 0.1,91.7 ± 0.3,59.7 ± 0.4,58.3 ± 0.3,78.9 ± 0.4,83.8 ± 2.0,67.2 ± 2.1,50.8 ± 2.1,91.3 ± 0.8,98.8 ± 0.1,96.1 ± 0.6,54.2 ± 11.0,40.3 ± 8.7,26.4 ± 2.4
aircraft_model_head,96.5 ± 0.2,99.5 ± 0.0,98.0 ± 0.1,97.5 ± 0.0,73.0 ± 0.0,74.4 ± 0.3,87.9 ± 0.1,22.2 ± 2.7,17.1 ± 2.3,12.0 ± 0.9,99.2 ± 0.1,99.9 ± 0.0,98.4 ± 0.1,16.0 ± 4.0,0.0 ± 0.0,0.0 ± 0.0
angled_toggle_switch,88.4 ± 2.9,98.1 ± 0.6,95.1 ± 0.5,87.0 ± 0.2,25.0 ± 0.6,32.0 ± 0.3,61.3 ± 0.3,65.9 ± 9.8,47.6 ± 8.8,33.6 ± 7.0,93.0 ± 3.8,98.9 ± 0.6,96.8 ± 1.2,40.0 ± 21.2,33.3 ± 12.9,22.7 ± 6.1
audio_jack_socket,73.5 ± 1.5,91.9 ± 0.6,91.2 ± 0.2,84.2 ± 0.3,1.6 ± 0.1,3.5 ± 0.1,50.2 ± 3.0,83.2 ± 2.2,74.6 ± 1.6,61.3 ± 3.2,76.7 ± 6.0,96.0 ± 1.2,94.9 ± 0.1,73.3 ± 2.3,64.0 ± 4.0,60.0 ± 10.6
bag_buckle,94.6 ± 0.7,99.3 ± 0.1,96.6 ± 0.2,99.6 ± 0.0,76.8 ± 1.5,73.2 ± 1.3,97.2 ± 0.3,41.9 ± 4.7,26.1 ± 5.7,17.9 ± 2.4,96.9 ± 0.2,99.6 ± 0.0,96.6 ± 0.2,46.7 ± 2.3,25.3 ± 2.3,4.0 ± 0.0
ball_pin,94.7 ± 0.3,99.3 ± 0.1,95.6 ± 0.2,99.2 ± 0.0,69.1 ± 0.1,62.1 ± 0.1,95.4 ± 0.1,61.4 ± 3.0,42.3 ± 3.3,17.5 ± 0.8,99.1 ± 0.2,99.9 ± 0.0,98.3 ± 0.3,12.0 ± 4.0,2.7 ± 2.3,0.0 ± 0.0
balun_transformer,81.3 ± 2.0,96.3 ± 0.4,91.6 ± 0.1,95.9 ± 0.2,72.6 ± 1.0,69.6 ± 0.9,69.6 ± 1.0,92.8 ± 0.7,81.4 ± 5.7,67.1 ± 9.2,87.5 ± 5.0,98.2 ± 0.7,95.7 ± 0.7,61.3 ± 10.1,49.3 ± 19.7,38.7 ± 22.7
battery,70.7 ± 1.6,93.6 ± 0.3,94.0 ± 0.1,88.1 ± 0.2,15.2 ± 0.4,21.5 ± 0.5,57.2 ± 0.2,90.4 ± 2.7,81.1 ± 7.2,69.2 ± 3.6,75.5 ± 1.2,95.1 ± 0.2,94.3 ± 0.3,85.3 ± 6.1,70.7 ± 4.6,62.7 ± 6.1
battery_holder_connector,84.5 ± 2.3,97.5 ± 0.6,94.6 ± 0.2,86.5 ± 0.6,34.8 ± 2.4,34.6 ± 3.1,74.6 ± 1.0,76.2 ± 4.5,57.6 ± 3.6,47.5 ± 2.5,93.0 ± 4.1,99.0 ± 0.7,96.7 ± 0.5,41.3 ± 6.1,32.0 ± 10.6,21.3 ± 10.1
battery_socket_connector,69.5 ± 1.5,93.3 ± 0.2,92.7 ± 0.4,88.6 ± 0.3,45.2 ± 0.9,45.4 ± 1.2,59.8 ± 1.8,88.4 ± 5.9,82.4 ± 5.9,75.0 ± 6.0,86.8 ± 2.0,98.2 ± 0.3,94.6 ± 0.5,77.3 ± 11.5,66.7 ± 16.7,49.3 ± 6.1
bend_connector,86.4 ± 0.9,97.8 ± 0.2,93.5 ± 0.2,91.4 ± 0.1,42.0 ± 0.9,44.2 ± 1.2,68.4 ± 0.2,82.6 ± 3.0,63.9 ± 2.1,45.1 ± 3.2,96.0 ± 1.8,99.4 ± 0.3,97.8 ± 0.5,28.0 ± 10.6,17.3 ± 6.1,8.0 ± 6.9
blade_switch,86.3 ± 0.2,97.5 ± 0.1,95.7 ± 0.4,95.1 ± 0.1,54.5 ± 0.6,55.1 ± 0.6,74.7 ± 0.2,55.5 ± 7.0,39.5 ± 3.0,31.2 ± 1.6,86.0 ± 0.4,97.6 ± 0.1,97.1 ± 0.4,34.7 ± 6.1,30.7 ± 6.1,26.7 ± 4.6
blue_light_switch,70.2 ± 2.8,91.7 ± 0.7,92.7 ± 0.1,84.1 ± 0.2,16.0 ± 0.2,29.3 ± 0.5,65.4 ± 0.3,91.6 ± 1.2,79.5 ± 4.2,65.8 ± 6.7,60.9 ± 0.8,90.8 ± 0.4,94.5 ± 0.2,81.3 ± 6.1,78.7 ± 8.3,66.7 ± 4.6
bluetooth_module,90.7 ± 4.4,98.7 ± 0.7,96.0 ± 0.5,94.0 ± 0.6,65.8 ± 2.5,60.6 ± 2.1,79.2 ± 2.7,55.5 ± 10.3,41.1 ± 9.6,28.3 ± 14.2,93.6 ± 4.3,99.1 ± 0.6,97.2 ± 1.0,38.7 ± 23.4,34.7 ± 23.4,30.7 ± 23.4
boost_converter_module,74.1 ± 2.9,93.9 ± 0.7,91.2 ± 0.1,92.8 ± 0.3,64.1 ± 2.1,60.9 ± 2.3,66.1 ± 1.6,93.4 ± 3.8,86.4 ± 5.9,71.5 ± 5.1,76.7 ± 6.9,96.4 ± 0.9,94.6 ± 0.5,85.3 ± 11.5,72.0 ± 14.4,64.0 ± 18.3
bread_model,83.8 ± 0.4,97.1 ± 0.1,93.3 ± 0.2,96.6 ± 0.1,62.6 ± 2.6,64.7 ± 0.8,87.1 ± 0.2,81.8 ± 0.3,69.1 ± 3.1,56.1 ± 1.7,89.2 ± 0.5,98.4 ± 0.1,95.9 ± 0.2,60.0 ± 6.9,40.0 ± 10.6,28.0 ± 4.0
brooch_clasp_accessory,98.7 ± 0.1,99.8 ± 0.0,97.9 ± 0.2,97.9 ± 0.0,77.2 ± 0.2,75.1 ± 0.5,92.8 ± 0.3,20.0 ± 4.4,3.4 ± 0.4,0.9 ± 0.4,100.0 ± 0.1,100.0 ± 0.0,99.9 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
button_battery_holder,84.4 ± 1.5,97.6 ± 0.3,94.5 ± 0.2,89.0 ± 0.4,36.2 ± 1.3,41.0 ± 0.8,70.1 ± 0.6,76.6 ± 3.4,55.7 ± 6.4,44.3 ± 3.9,84.5 ± 4.2,97.8 ± 0.7,94.7 ± 0.4,81.3 ± 8.3,56.0 ± 14.4,48.0 ± 13.9
button_motor,97.1 ± 0.3,99.6 ± 0.0,97.1 ± 0.3,97.7 ± 0.1,74.8 ± 0.3,73.2 ± 0.2,84.0 ± 0.3,35.7 ± 7.2,13.6 ± 4.2,5.9 ± 1.7,98.0 ± 0.4,99.7 ± 0.1,98.9 ± 0.4,9.3 ± 2.3,4.0 ± 0.0,4.0 ± 0.0
button_switch,89.8 ± 0.6,98.7 ± 0.1,94.1 ± 0.0,99.2 ± 0.0,85.0 ± 0.5,79.0 ± 0.7,82.0 ± 0.2,89.1 ± 1.2,75.2 ± 4.0,42.1 ± 3.2,98.8 ± 0.3,99.8 ± 0.1,98.7 ± 0.5,10.7 ± 6.1,5.3 ± 2.3,4.0 ± 0.0
Mean,85.5 ± 0.1,97.3 ± 0.0,94.6 ± 0.0,91.4 ± 0.0,51.2 ± 0.1,51.6 ± 0.1,75.5 ± 0.2,69.9 ± 0.4,56.1 ± 0.7,42.6 ± 1.1,89.8 ± 0.5,98.3 ± 0.1,96.6 ± 0.1,47.3 ± 1.6,36.8 ± 2.3,28.3 ± 1.9
