Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
2pin_block_plug,91.0,98.8,95.7,92.5,66.8,62.5,82.6,55.3,45.5,32.5,96.4,99.5,97.0,33.3,29.2,12.5
3_adapter,88.8,98.4,94.7,98.4,64.5,61.1,89.0,74.8,53.5,37.0,92.5,98.9,96.5,44.0,28.0,20.0
3pin_aviation_connector,72.7,95.7,93.6,93.7,51.2,49.7,74.4,96.2,91.7,80.5,70.2,95.5,94.3,96.0,92.0,72.0
4_wire_stepping_motor,73.2,96.1,94.1,70.6,2.2,5.5,41.3,96.8,86.4,80.8,91.3,98.9,94.3,92.0,64.0,36.0
D-sub-connector,91.9,98.7,94.5,96.2,64.0,63.9,83.9,75.9,46.1,27.0,97.7,99.6,98.7,12.0,4.0,4.0
DVD_switch,90.6,98.6,96.5,86.2,39.1,40.0,70.1,45.6,35.2,28.8,95.5,99.4,96.9,40.0,32.0,8.0
LED_indicator,71.1,95.0,94.1,83.6,19.2,30.5,60.9,96.0,90.4,73.6,77.3,96.3,94.3,92.0,84.0,72.0
PLCC_socket,85.2,98.0,94.3,98.4,84.5,80.6,83.5,92.8,81.6,57.6,93.5,99.1,95.9,56.0,32.0,16.0
VR_joystick,84.7,96.8,92.6,98.2,67.5,63.4,90.3,78.8,61.8,48.2,90.0,98.4,95.8,64.0,32.0,24.0
access_card,73.2,95.4,94.6,66.4,9.9,16.6,70.8,84.0,78.4,66.4,70.2,95.7,94.5,92.0,92.0,84.0
accurate_detection_switch,79.2,96.8,93.9,91.2,57.9,56.8,77.1,85.9,77.3,60.2,80.0,97.4,94.5,91.7,87.5,79.2
aircraft_model_head,96.3,99.5,97.9,97.4,73.3,74.3,87.8,26.0,19.1,13.0,99.0,99.9,98.0,20.0,0.0,0.0
angled_toggle_switch,88.3,98.2,95.3,86.7,23.7,31.1,60.6,63.3,48.4,35.9,94.9,99.3,97.6,36.0,28.0,20.0
audio_jack_socket,73.4,92.1,90.7,83.5,1.4,3.3,45.1,92.3,79.9,64.9,80.2,96.8,94.1,96.0,80.0,56.0
