Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
green-ring-filter,79.9 ± 0.5,92.2 ± 0.1,88.9 ± 0.3,91.5 ± 0.1,21.1 ± 0.6,24.4 ± 0.5,66.5 ± 0.1,81.4 ± 2.4,67.3 ± 2.8,51.9 ± 2.1,90.7 ± 1.0,98.7 ± 0.1,95.5 ± 1.1,64.0 ± 18.3,44.0 ± 12.0,29.3 ± 2.3
hairdryer_switch,96.3 ± 0.3,99.5 ± 0.1,97.1 ± 0.2,98.9 ± 0.0,77.6 ± 0.1,73.9 ± 0.1,78.4 ± 0.3,34.4 ± 2.1,21.3 ± 0.5,11.7 ± 2.0,97.0 ± 1.0,99.6 ± 0.1,97.5 ± 0.6,32.0 ± 14.4,18.7 ± 6.1,10.7 ± 2.3
hall_effect_sensor,94.9 ± 0.3,99.1 ± 0.1,96.5 ± 0.4,98.2 ± 0.0,77.7 ± 0.1,71.8 ± 0.1,80.6 ± 0.1,47.5 ± 3.8,23.2 ± 2.9,7.7 ± 0.5,96.9 ± 0.1,99.3 ± 0.0,99.1 ± 0.1,5.3 ± 2.3,4.0 ± 0.0,4.0 ± 0.0
headphone_jack-female,96.9 ± 0.2,99.6 ± 0.0,97.7 ± 0.3,92.5 ± 0.0,60.5 ± 0.1,59.9 ± 0.1,83.5 ± 0.0,22.6 ± 3.7,13.4 ± 0.8,9.5 ± 1.3,98.7 ± 0.4,99.8 ± 0.1,98.9 ± 0.1,13.3 ± 2.3,6.7 ± 2.3,6.7 ± 2.3
headphone_jack_socket,87.9 ± 1.0,98.2 ± 0.2,94.0 ± 0.1,94.9 ± 0.5,56.3 ± 7.6,55.6 ± 6.7,89.1 ± 2.6,83.3 ± 2.5,62.0 ± 1.9,39.2 ± 3.5,92.3 ± 0.9,98.9 ± 0.2,95.9 ± 0.5,56.0 ± 10.6,36.0 ± 4.0,24.0 ± 4.0
hex_plug,93.4 ± 0.2,99.1 ± 0.1,95.2 ± 0.1,92.0 ± 0.0,61.2 ± 0.2,60.3 ± 0.1,77.6 ± 0.1,64.0 ± 2.1,47.5 ± 2.4,22.1 ± 1.2,99.9 ± 0.1,100.0 ± 0.0,99.6 ± 0.2,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
humidity_sensor,96.4 ± 0.2,99.4 ± 0.0,97.0 ± 0.1,98.0 ± 0.0,51.9 ± 0.3,52.5 ± 0.3,92.5 ± 0.1,32.3 ± 0.9,16.2 ± 3.0,5.0 ± 0.4,99.7 ± 0.1,100.0 ± 0.0,99.7 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
ingot_buckle,96.0 ± 0.2,99.5 ± 0.0,95.8 ± 0.2,97.4 ± 0.0,61.0 ± 0.3,56.1 ± 0.5,84.1 ± 0.2,66.4 ± 2.9,32.5 ± 1.8,4.5 ± 0.5,99.5 ± 0.2,99.9 ± 0.0,99.1 ± 0.1,8.0 ± 0.0,5.3 ± 2.3,0.0 ± 0.0
insect_metal_parts,80.2 ± 1.0,96.3 ± 0.2,93.8 ± 0.3,94.0 ± 0.1,27.7 ± 0.5,31.0 ± 0.4,81.8 ± 0.2,78.7 ± 4.4,69.0 ± 5.5,50.6 ± 4.3,86.2 ± 0.7,98.0 ± 0.1,95.6 ± 0.4,65.3 ± 6.1,53.3 ± 2.3,45.3 ± 4.6
inverter_connector,97.2 ± 0.5,99.7 ± 0.1,97.1 ± 0.3,98.6 ± 0.0,64.8 ± 0.7,65.9 ± 0.1,95.4 ± 0.0,35.2 ± 7.2,17.1 ± 4.5,7.2 ± 3.5,100.0 ± 0.0,100.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
