Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
2pin_block_plug,91.6,98.9,95.4,92.5,67.6,62.7,82.4,65.0,45.5,30.1,99.0,99.9,98.0,16.7,4.2,0.0
3_adapter,89.3,98.4,94.9,98.5,64.3,60.8,89.4,70.9,57.5,38.6,90.4,98.6,95.9,60.0,52.0,20.0
3pin_aviation_connector,78.0,96.6,93.6,93.8,53.3,52.0,75.3,94.7,78.2,66.9,75.3,96.3,94.9,76.0,76.0,64.0
4_wire_stepping_motor,75.8,96.6,94.1,70.7,2.1,5.4,42.1,96.0,88.8,80.0,93.2,99.2,94.7,88.0,52.0,12.0
D-sub-connector,94.8,99.1,96.1,96.1,63.0,63.3,85.0,46.1,27.7,11.3,98.0,99.6,99.5,4.0,4.0,4.0
DVD_switch,91.3,98.7,96.4,86.5,39.7,40.3,70.8,44.0,32.0,25.6,96.0,99.4,98.0,20.0,12.0,8.0
LED_indicator,76.9,96.5,94.1,84.7,23.6,36.3,62.0,93.6,91.2,74.4,84.2,97.9,94.3,88.0,76.0,76.0
PLCC_socket,86.3,98.2,94.2,98.7,85.5,81.0,87.0,87.2,77.6,60.0,95.3,99.4,96.6,44.0,32.0,12.0
VR_joystick,86.7,97.2,93.4,98.3,67.1,62.8,90.6,70.6,57.6,43.5,91.3,98.5,97.5,32.0,16.0,16.0
access_card,90.6,98.4,95.6,65.5,16.9,25.6,78.0,58.4,45.6,23.2,87.5,97.9,96.3,52.0,44.0,36.0
accurate_detection_switch,86.3,98.0,94.2,91.8,59.6,58.0,79.1,85.9,68.0,52.3,91.9,98.9,95.7,62.5,50.0,25.0
aircraft_model_head,96.8,99.5,98.1,97.5,73.0,74.7,88.0,19.1,14.5,11.5,99.3,99.9,98.5,12.0,0.0,0.0
angled_toggle_switch,90.0,98.5,94.8,87.3,25.7,32.2,61.6,70.3,52.3,33.6,95.9,99.4,97.8,24.0,24.0,24.0
audio_jack_socket,73.8,92.2,91.2,84.3,1.7,3.5,51.4,81.4,74.2,62.9,76.2,96.1,94.9,72.0,64.0,64.0
bag_buckle,94.1,99.2,96.6,99.6,75.7,72.3,97.1,40.0,27.2,20.0,97.1,99.6,96.8,44.0,24.0,4.0
ball_pin,95.0,99.4,95.8,99.2,69.0,62.0,95.5,57.9,39.7,16.7,99.3,99.9,98.5,8.0,0.0,0.0
balun_transformer,81.8,96.4,91.6,96.1,73.2,70.1,70.5,92.4,83.1,69.2,90.2,98.5,96.3,52.0,36.0,32.0
battery,72.2,93.9,94.1,88.3,15.2,22.0,57.4,87.6,72.9,65.1,76.5,95.2,94.7,80.0,68.0,64.0
battery_holder_connector,86.0,97.9,94.5,85.9,36.6,37.6,74.1,74.4,59.7,46.5,95.6,99.4,97.3,36.0,24.0,20.0
battery_socket_connector,69.6,93.4,92.3,88.3,44.4,44.6,57.8,93.9,87.7,78.5,85.2,98.0,94.3,84.0,80.0,56.0
bend_connector,87.0,97.9,93.7,91.3,42.3,44.8,68.2,79.2,66.0,45.8,97.9,99.7,98.3,20.0,12.0,4.0
blade_switch,86.3,97.5,95.3,95.0,55.0,54.5,74.4,63.2,40.8,31.2,86.3,97.6,97.5,28.0,24.0,24.0
blue_light_switch,67.0,90.9,92.6,84.2,16.2,29.1,65.6,90.9,81.2,73.4,60.4,90.3,94.5,80.0,72.0,64.0
bluetooth_module,90.2,98.6,96.2,93.5,64.4,59.6,77.6,51.2,40.0,31.2,92.6,99.0,96.8,48.0,44.0,40.0
boost_converter_module,75.9,94.4,91.3,92.9,65.0,62.0,66.3,91.2,80.1,69.1,84.3,97.4,95.2,72.0,56.0,44.0
bread_model,83.5,97.0,93.1,96.6,59.6,63.9,87.1,82.2,72.4,57.9,89.1,98.3,96.1,64.0,32.0,24.0
brooch_clasp_accessory,98.6,99.8,98.0,97.9,77.2,74.5,92.5,24.6,3.6,1.4,99.9,100.0,99.8,0.0,0.0,0.0
button_battery_holder,85.7,97.8,94.7,89.4,37.1,41.6,70.6,72.7,48.4,39.8,86.3,98.0,95.0,84.0,44.0,40.0
button_motor,97.3,99.6,97.4,97.7,74.6,73.2,83.9,28.8,11.2,7.2,97.9,99.7,98.5,8.0,4.0,4.0
button_switch,89.8,98.7,94.1,99.2,85.3,79.4,82.0,90.4,75.2,45.6,98.7,99.8,98.5,12.0,4.0,4.0
car_door_lock_switch,70.6,94.9,94.2,92.8,49.3,50.1,74.6,92.0,88.0,73.6,63.2,93.2,94.1,100.0,92.0,68.0
ceramic_fuse,80.3,96.9,94.3,91.4,30.0,35.6,75.7,89.6,79.2,60.8,93.4,98.9,97.8,28.0,24.0,16.0
ceramic_wave_filter,86.9,98.0,94.8,90.8,55.1,58.8,72.9,76.0,64.8,45.6,91.1,98.6,96.0,56.0,28.0,24.0
charging_port,86.8,97.9,94.7,89.2,39.1,38.0,76.7,70.4,57.8,38.5,94.8,99.3,96.6,44.0,32.0,24.0
chip-inductor,85.2,97.8,94.4,88.6,43.4,41.6,78.6,77.8,63.5,41.3,87.5,98.1,95.4,68.0,64.0,28.0
circuit_breaker,93.2,99.1,95.7,98.2,73.7,69.7,87.9,56.7,42.5,26.8,99.8,99.9,99.5,4.0,0.0,0.0
circular_aviation_connector,66.4,88.4,87.5,68.2,11.8,17.3,41.1,96.8,92.3,81.5,89.6,98.1,95.9,64.0,36.0,24.0
common-mode-choke,73.1,91.9,91.5,96.6,62.8,60.1,83.3,82.9,69.5,58.8,78.7,96.9,94.1,100.0,80.0,64.0
common-mode-filter,92.9,98.9,95.7,93.3,42.3,42.4,76.2,52.7,32.1,20.6,95.5,99.4,97.5,28.0,20.0,16.0
connector,89.8,98.5,94.2,86.3,62.9,59.5,76.6,77.7,56.2,37.7,95.5,99.4,96.7,40.0,24.0,12.0
connector_housing-female,95.4,99.1,97.4,87.3,48.8,52.1,81.8,26.2,18.3,12.7,97.5,99.6,98.8,20.0,16.0,12.0
console_switch,87.7,98.1,95.7,78.8,25.5,31.9,75.1,61.6,48.0,38.4,91.9,98.8,96.5,44.0,36.0,24.0
crimp_st_cable_mount_box,87.4,97.9,93.3,97.1,62.9,64.4,91.2,88.0,62.7,35.2,92.3,98.9,95.9,60.0,40.0,20.0
dc_jack,86.1,97.4,92.6,88.3,49.7,44.6,82.1,82.5,70.5,54.2,96.0,99.5,96.2,60.0,20.0,8.0
dc_power_connector,92.1,98.9,96.0,89.7,26.5,30.0,81.1,50.4,38.4,24.0,94.0,99.1,97.8,24.0,24.0,20.0
detection_switch,82.7,96.1,91.5,90.8,45.6,46.3,66.2,88.7,71.0,56.5,93.9,99.2,95.5,76.0,32.0,20.0
duckbill_circuit_breaker,71.8,95.0,93.2,94.0,25.5,26.9,81.6,100.0,94.4,83.1,75.8,96.6,94.0,96.0,92.0,80.0
earphone_audio_unit,71.5,94.7,93.1,93.3,46.4,46.0,62.3,95.2,89.7,81.4,80.8,97.3,94.1,92.0,64.0,56.0
effect_transistor,82.8,95.6,91.1,98.1,80.6,73.4,83.9,83.3,62.1,48.8,86.9,97.9,94.5,76.0,52.0,24.0
electronic_watch_movement,73.8,95.8,94.1,94.6,44.5,46.8,60.1,94.4,83.2,64.8,77.0,96.3,94.1,96.0,84.0,68.0
ethernet-connector,95.1,99.0,95.7,88.9,20.0,22.9,80.5,55.0,25.0,7.9,99.1,99.8,98.9,12.0,8.0,4.0
ferrite_bead,75.1,96.2,93.7,98.8,74.9,72.7,87.0,97.8,88.8,76.1,73.7,96.3,94.3,92.0,84.0,80.0
ffc_connector_plug,84.8,96.7,93.4,97.1,53.9,59.5,69.6,72.7,53.4,47.7,74.8,96.6,94.1,96.0,92.0,92.0
flow_control_valve,81.7,95.9,93.2,98.8,50.3,54.1,91.6,80.7,63.3,42.7,77.3,95.9,94.7,76.0,72.0,44.0
flower_copper_shape,94.1,99.2,95.6,95.9,66.1,63.1,85.2,64.0,40.0,21.6,98.9,99.9,98.0,20.0,4.0,0.0
flower_velvet_fabric,93.8,99.2,96.0,91.1,71.7,69.4,82.2,58.4,32.8,20.0,94.3,99.2,96.3,48.0,40.0,16.0
fork-crimp-terminal,83.7,95.1,93.2,98.4,54.8,51.8,90.9,67.8,57.2,40.6,94.3,98.6,97.2,28.0,16.0,8.0
fuse_cover,76.8,95.0,92.2,94.0,64.5,61.4,81.2,89.1,71.5,62.4,77.6,96.5,95.5,73.9,73.9,65.2
fuse_holder,96.8,99.6,97.6,95.6,52.1,53.7,81.8,30.4,18.4,10.4,99.3,99.9,98.8,16.0,0.0,0.0
gear,97.7,99.6,98.9,98.8,80.0,76.8,95.1,8.7,7.1,4.8,100.0,100.0,100.0,0.0,0.0,0.0
gear_motor,80.8,96.4,95.5,86.4,15.8,25.4,75.2,66.4,57.6,52.8,78.5,96.1,95.9,60.0,48.0,44.0
