Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
switch,86.6 ± 0.7,89.6 ± 0.5,79.1 ± 0.7,94.0 ± 0.1,36.2 ± 0.8,45.5 ± 0.6,88.2 ± 0.2,82.4 ± 1.2,65.3 ± 1.7,45.8 ± 2.7,93.9 ± 0.4,97.3 ± 0.2,90.6 ± 0.6,62.8 ± 4.1,39.2 ± 2.4,20.6 ± 3.6
tape,94.7 ± 0.2,93.6 ± 0.3,86.0 ± 0.6,99.0 ± 0.0,45.9 ± 0.2,51.2 ± 0.2,93.4 ± 0.1,53.6 ± 1.3,33.8 ± 1.2,18.3 ± 1.2,98.6 ± 0.2,99.4 ± 0.1,96.2 ± 0.5,16.9 ± 4.1,7.2 ± 0.8,2.1 ± 0.2
terminalblock,87.6 ± 1.1,90.1 ± 0.9,80.0 ± 0.6,98.9 ± 0.0,48.9 ± 1.0,53.5 ± 0.7,96.8 ± 0.1,69.8 ± 5.4,53.0 ± 4.2,39.4 ± 2.3,91.7 ± 1.6,96.6 ± 0.6,88.7 ± 1.1,75.0 ± 10.7,56.8 ± 11.0,33.5 ± 11.0
toothbrush,76.0 ± 2.0,81.9 ± 1.5,71.8 ± 1.0,93.5 ± 0.5,23.4 ± 1.7,32.3 ± 1.7,70.7 ± 1.7,93.5 ± 1.8,84.6 ± 3.4,72.1 ± 3.9,91.8 ± 1.3,95.7 ± 0.8,90.0 ± 0.6,59.3 ± 5.6,37.7 ± 6.4,23.3 ± 2.9
toy,68.9 ± 3.8,77.3 ± 3.1,74.3 ± 1.0,84.0 ± 0.4,16.9 ± 0.4,24.7 ± 0.6,72.9 ± 0.4,91.6 ± 4.3,84.4 ± 4.3,74.8 ± 5.0,72.8 ± 8.7,86.4 ± 4.6,81.3 ± 1.2,89.6 ± 7.4,82.5 ± 7.8,72.0 ± 8.4
toy_brick,71.3 ± 2.0,65.1 ± 2.8,62.1 ± 1.5,97.3 ± 0.2,23.0 ± 4.5,28.9 ± 3.9,84.7 ± 0.8,89.2 ± 1.1,79.6 ± 3.2,70.2 ± 3.6,74.7 ± 1.6,85.3 ± 1.8,82.2 ± 0.5,87.5 ± 3.6,76.7 ± 3.6,63.8 ± 3.0
transistor1,73.5 ± 3.3,77.9 ± 3.1,75.8 ± 1.0,95.2 ± 0.1,31.1 ± 3.7,38.0 ± 4.4,79.7 ± 0.2,87.3 ± 1.3,76.0 ± 1.4,62.3 ± 3.8,73.1 ± 4.0,85.6 ± 2.4,82.2 ± 0.5,84.4 ± 3.7,74.3 ± 3.6,66.1 ± 5.9
u_block,84.4 ± 0.6,79.6 ± 1.1,69.6 ± 0.6,99.1 ± 0.0,49.4 ± 1.0,55.4 ± 1.0,92.8 ± 0.1,85.0 ± 1.8,70.1 ± 0.9,52.9 ± 1.4,92.2 ± 0.5,96.4 ± 0.3,89.1 ± 0.8,73.2 ± 7.8,47.8 ± 4.9,26.1 ± 3.4
usb,81.7 ± 0.3,82.2 ± 0.6,73.3 ± 0.2,97.0 ± 0.1,26.3 ± 1.4,37.0 ± 1.4,88.0 ± 0.5,88.8 ± 2.1,77.9 ± 2.2,64.3 ± 1.7,88.7 ± 0.4,94.4 ± 0.2,87.5 ± 0.2,77.2 ± 3.3,56.0 ± 1.2,36.0 ± 3.7
usb_adaptor,84.3 ± 0.5,79.5 ± 0.6,71.4 ± 1.0,98.9 ± 0.0,31.2 ± 0.6,36.0 ± 0.2,91.9 ± 0.1,74.4 ± 0.9,61.6 ± 1.0,46.2 ± 1.8,93.1 ± 0.7,97.0 ± 0.4,91.7 ± 0.5,69.0 ± 1.0,41.7 ± 2.3,17.0 ± 3.0
vcpill,87.5 ± 0.9,86.0 ± 1.0,74.8 ± 1.0,98.0 ± 0.1,54.1 ± 1.7,60.9 ± 1.2,83.4 ± 0.8,75.5 ± 3.4,58.7 ± 3.5,44.2 ± 4.2,91.3 ± 0.3,95.9 ± 0.2,87.8 ± 0.2,62.8 ± 0.9,49.2 ± 3.7,32.7 ± 2.1
wooden_beads,89.0 ± 0.1,88.8 ± 0.2,78.1 ± 0.1,98.7 ± 0.0,48.8 ± 0.4,53.7 ± 0.3,90.9 ± 0.1,74.4 ± 0.9,57.5 ± 0.5,39.3 ± 2.0,92.7 ± 0.4,97.3 ± 0.1,91.5 ± 0.3,73.9 ± 5.9,53.0 ± 6.3,19.4 ± 1.4
woodstick,80.7 ± 0.3,67.1 ± 0.4,61.2 ± 0.7,97.8 ± 0.0,54.0 ± 0.4,55.0 ± 0.4,85.1 ± 0.2,84.9 ± 0.7,67.8 ± 1.4,52.1 ± 0.3,76.7 ± 0.5,87.5 ± 0.2,81.2 ± 0.3,91.7 ± 1.3,80.8 ± 3.6,65.9 ± 3.4
zipper,96.1 ± 0.7,97.5 ± 0.5,92.6 ± 1.1,97.7 ± 0.1,27.1 ± 0.5,27.5 ± 0.6,93.0 ± 0.1,28.8 ± 7.0,18.5 ± 5.8,11.3 ± 1.9,98.4 ± 0.4,99.2 ± 0.2,96.3 ± 0.5,16.0 ± 4.7,7.1 ± 1.3,4.1 ± 1.0
Mean,83.0 ± 0.1,81.6 ± 0.2,74.4 ± 0.0,97.3 ± 0.0,37.7 ± 0.2,43.6 ± 0.2,88.6 ± 0.1,76.8 ± 0.1,63.1 ± 0.3,48.9 ± 0.3,88.0 ± 0.5,94.2 ± 0.2,88.4 ± 0.2,65.1 ± 1.9,49.8 ± 1.7,35.4 ± 1.4
