Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
audiojack,72.8,59.6,58.4,96.7,20.4,27.7,79.9,79.9,72.3,63.1,78.0,87.3,85.0,68.7,63.0,52.0
bottle_cap,78.6,76.5,69.5,98.6,31.1,38.1,93.7,87.0,74.0,55.1,93.2,96.8,89.3,50.0,37.0,27.6
button_battery,74.3,81.9,73.8,98.3,58.3,57.5,87.3,92.5,83.2,72.0,83.0,92.6,83.1,88.8,82.2,64.3
end_cap,78.8,84.0,77.4,97.1,28.1,35.3,89.6,87.4,74.8,58.9,86.1,93.0,86.0,70.5,58.5,43.6
eraser,85.5,83.9,72.8,99.5,49.4,50.4,95.4,83.1,67.2,50.6,76.6,89.1,81.9,91.1,80.1,69.5
fire_hood,86.9,78.6,73.9,99.2,32.0,40.8,90.7,68.5,54.7,38.6,87.8,92.5,87.6,66.8,50.0,33.2
mint,71.6,70.1,67.3,92.7,26.1,37.0,72.6,91.6,83.1,71.4,72.3,92.8,89.7,95.2,86.2,74.9
mounts,86.1,72.4,74.5,98.4,36.6,43.2,95.4,66.8,45.3,31.4,97.3,98.7,95.2,28.1,10.0,5.6
pcb,73.9,83.4,76.2,97.3,24.6,32.7,87.5,93.5,85.4,73.7,79.9,90.2,82.6,91.9,77.2,61.4
phone_battery,88.8,88.3,78.1,99.2,60.9,62.9,93.8,76.7,60.3,41.5,91.6,96.3,88.7,64.3,46.5,28.2
plastic_nut,79.4,73.3,64.6,97.6,41.9,44.8,87.2,87.0,77.8,65.2,91.9,95.7,89.6,47.0,35.5,25.9
plastic_plug,81.6,77.4,67.2,97.4,27.7,37.5,90.5,84.1,68.5,56.1,89.4,95.1,87.4,78.9,55.8,34.7
porcelain_doll,92.9,89.1,80.5,99.6,49.8,50.2,97.6,51.9,38.5,22.5,98.5,99.4,96.1,12.9,8.7,3.7
regulator,72.5,57.0,53.4,96.1,12.0,20.9,81.3,94.2,85.5,71.0,68.8,83.2,81.0,93.6,89.2,76.7
rolled_strip_base,88.6,94.3,86.1,99.4,29.8,38.1,98.1,67.1,53.4,39.1,96.6,98.5,93.8,46.0,18.5,6.0
sim_card_set,95.7,96.5,90.3,99.6,58.0,61.1,96.5,39.7,22.6,11.4,96.5,98.4,93.8,41.0,20.5,7.2
switch,84.0,87.4,77.0,93.7,34.4,43.6,87.6,82.3,68.5,52.7,92.0,96.5,88.8,75.2,49.2,27.6
tape,94.5,93.5,86.0,98.9,45.8,51.4,93.0,57.3,35.4,18.6,98.7,99.4,96.1,15.2,7.2,2.0
terminalblock,84.5,87.9,77.5,98.8,47.7,52.5,96.5,77.4,63.7,47.6,89.9,95.7,87.1,89.7,62.1,35.8
toothbrush,76.9,82.9,72.2,93.7,24.8,33.4,71.6,95.0,85.5,70.6,93.1,96.6,90.4,51.2,33.6,21.3
toy,65.2,73.3,74.4,83.6,12.4,19.0,72.3,90.9,84.9,75.5,74.9,85.5,82.3,82.3,74.3,61.0
toy_brick,69.3,61.5,60.6,97.1,15.6,22.8,83.7,89.4,83.2,73.6,73.0,82.6,82.4,88.3,76.2,62.9
transistor1,73.5,77.9,75.4,95.4,32.4,39.8,80.2,87.5,78.8,63.9,74.5,85.9,83.2,78.2,70.2,63.3
u_block,83.8,77.8,68.2,99.0,47.9,53.9,91.8,81.1,66.7,51.6,90.9,95.6,87.5,63.9,45.4,33.7
usb,79.8,79.6,70.9,96.8,24.5,35.6,87.5,86.5,77.2,64.4,84.3,92.0,85.6,78.9,69.9,46.3
usb_adaptor,83.9,79.6,71.2,98.8,30.9,35.9,91.4,80.0,63.3,48.5,92.5,96.7,91.3,58.7,47.8,17.8
vcpill,89.5,87.9,77.5,98.0,54.9,60.6,83.5,69.9,54.9,36.7,92.7,96.5,89.0,59.1,37.7,25.8
wooden_beads,88.1,88.1,77.8,98.7,49.7,54.2,90.5,76.2,61.3,42.4,91.8,97.0,90.9,80.6,58.1,24.9
woodstick,78.1,63.1,57.7,97.5,51.4,53.1,84.0,84.5,69.7,55.5,74.4,86.2,80.8,92.8,82.0,68.0
zipper,92.9,95.7,88.3,97.1,24.8,25.1,91.8,52.2,37.4,23.3,96.9,98.5,94.5,38.8,13.2,7.2
Mean,81.7,80.1,73.3,97.1,36.1,42.0,88.1,78.7,65.9,51.6,86.9,93.5,88.0,66.3,51.5,37.1
