Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
audiojack,69.3,61.4,54.7,96.8,27.9,35.6,79.9,90.8,84.6,73.9,77.6,89.2,82.3,88.6,77.2,64.2
bottle_cap,79.8,77.8,70.2,98.6,31.4,38.0,93.7,83.7,72.3,54.4,93.5,97.0,89.9,45.9,35.0,26.0
button_battery,74.5,82.4,73.5,98.4,59.9,58.7,88.2,93.6,86.8,73.7,84.0,92.6,84.8,87.1,68.5,51.9
end_cap,76.3,82.1,76.0,96.7,26.4,33.8,88.2,86.3,76.5,63.6,82.1,91.2,85.0,83.0,66.4,51.9
eraser,89.4,87.8,77.0,99.6,50.2,50.4,96.4,69.2,55.4,39.7,86.3,93.7,84.9,75.6,62.2,48.8
fire_hood,86.1,77.5,73.6,99.1,29.2,39.9,90.4,72.9,58.5,39.2,87.1,92.0,87.2,73.2,51.6,34.4
mint,70.8,70.0,66.4,92.7,27.1,37.9,73.0,92.7,83.8,73.2,74.5,93.2,89.8,92.2,83.8,74.9
mounts,86.0,71.7,74.6,98.6,36.8,42.9,95.7,66.0,44.9,30.1,97.1,98.6,95.3,37.8,9.2,3.6
pcb,72.2,82.3,75.6,97.4,22.4,29.8,87.7,94.9,89.0,76.2,81.4,91.3,82.2,90.2,75.6,61.8
phone_battery,88.6,88.1,78.4,99.2,60.6,63.1,94.1,82.5,61.3,41.2,91.3,96.1,88.8,69.3,55.6,30.3
plastic_nut,78.3,72.2,63.8,97.6,40.8,44.4,87.3,91.2,80.6,66.7,89.7,95.0,86.9,65.7,49.8,37.5
plastic_plug,82.5,78.4,68.1,97.5,28.9,38.1,90.8,78.7,67.7,55.1,90.8,95.9,87.9,67.8,53.3,35.1
porcelain_doll,92.4,89.1,80.8,99.5,49.7,50.0,97.4,69.2,41.2,23.9,98.0,99.1,95.9,21.2,8.3,4.1
regulator,71.2,56.9,52.5,96.0,12.9,22.2,80.9,93.9,86.4,76.6,69.1,82.9,81.1,95.2,88.0,75.9
rolled_strip_base,90.8,95.0,89.0,99.4,34.4,43.5,98.3,60.9,41.3,24.8,96.4,98.2,93.6,36.7,18.5,8.1
sim_card_set,96.0,96.8,90.8,99.6,57.9,60.9,96.7,37.2,20.3,10.7,96.0,98.2,92.9,38.6,24.1,11.6
switch,85.7,88.8,78.8,93.7,34.0,43.2,88.0,81.8,64.8,49.3,93.5,97.1,89.9,60.2,38.6,25.2
tape,94.8,93.5,85.3,98.9,46.2,51.6,93.1,51.9,33.5,19.5,98.4,99.3,95.7,21.6,9.6,1.6
terminalblock,86.5,89.5,78.6,98.9,46.8,52.2,96.7,72.9,58.1,43.5,91.9,96.7,88.0,76.1,50.6,33.3
toothbrush,74.6,80.6,71.0,93.9,24.5,32.4,71.8,95.3,87.4,75.6,88.9,94.6,86.8,66.8,53.3,39.3
toy,70.9,77.0,76.5,84.3,10.6,16.9,73.2,88.4,75.0,63.7,75.6,87.4,80.6,96.4,85.9,69.5
toy_brick,71.0,65.2,62.6,96.8,24.6,30.9,82.9,88.6,79.5,68.5,73.7,85.9,81.4,89.9,79.4,69.0
transistor1,75.7,80.8,76.0,95.4,35.1,42.9,80.2,87.2,76.1,60.8,79.3,89.3,83.0,84.3,71.8,56.9
u_block,84.9,78.5,69.3,98.9,48.4,54.3,91.5,79.0,66.7,49.9,90.7,95.3,88.7,62.2,46.2,26.5
usb,79.5,79.5,70.5,96.7,22.6,33.1,87.0,89.8,76.8,63.3,88.1,93.9,87.5,79.7,54.9,34.6
usb_adaptor,83.8,79.5,70.0,98.9,31.2,36.8,92.0,75.7,63.3,46.9,91.9,96.4,90.6,77.8,47.4,22.2
vcpill,83.4,81.5,70.1,97.6,49.2,57.0,82.3,82.2,69.1,54.2,85.8,93.3,83.7,78.2,68.7,52.4
wooden_beads,88.2,88.2,77.5,98.7,49.3,54.1,90.3,78.4,61.1,41.6,92.1,97.2,91.2,80.2,57.6,21.7
woodstick,80.4,66.1,60.8,97.6,53.1,53.9,84.5,83.0,65.3,52.9,76.0,87.1,80.9,92.8,83.2,69.6
zipper,95.7,97.3,92.1,97.5,26.0,26.0,92.6,34.9,18.9,12.2,98.6,99.3,95.9,14.0,6.8,4.0
Mean,82.0,80.5,73.5,97.2,36.6,42.5,88.2,78.4,64.9,50.8,87.3,93.9,87.7,68.3,52.7,38.2
