Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
audiojack,76.4,69.8,60.1,97.2,37.7,45.1,81.9,87.5,77.5,67.5,78.4,89.6,82.3,88.6,76.4,66.3
bottle_cap,81.7,79.0,73.8,98.8,32.2,38.5,94.4,86.4,66.6,45.9,93.4,96.9,89.2,47.6,37.8,25.2
button_battery,77.9,84.5,75.8,98.6,62.7,60.9,88.8,89.1,75.9,63.0,84.8,93.1,84.5,78.0,70.5,52.3
end_cap,79.3,84.0,77.4,97.3,27.2,33.5,90.4,85.7,71.6,57.6,85.3,92.5,86.2,72.2,58.9,41.1
eraser,89.6,87.7,77.7,99.6,49.7,50.3,96.3,68.6,54.2,36.1,84.8,92.8,85.3,80.1,59.3,50.8
fire_hood,87.4,79.8,74.0,99.3,33.2,41.8,91.1,70.2,51.9,36.9,87.8,92.8,87.7,64.8,51.6,31.2
mint,72.1,71.9,67.7,93.2,27.5,37.8,74.4,92.9,85.6,72.1,72.8,93.1,89.7,94.6,90.4,82.6
mounts,86.0,71.5,74.1,98.6,36.6,42.3,96.0,62.0,44.5,30.3,96.9,98.5,94.6,32.1,16.9,5.6
pcb,77.3,86.0,77.2,98.1,31.9,38.8,89.5,90.8,80.8,67.4,83.5,92.0,83.9,81.3,72.8,55.3
phone_battery,90.0,89.5,80.3,99.3,63.3,63.4,95.1,80.1,57.4,34.8,91.6,96.3,88.0,60.2,51.5,34.0
plastic_nut,80.5,74.9,65.2,97.8,41.2,44.7,88.6,88.8,76.8,63.1,93.8,96.8,90.6,41.8,31.5,19.1
plastic_plug,82.5,78.2,68.0,97.3,26.6,36.5,89.8,80.0,65.7,53.2,90.1,95.4,87.3,66.1,48.8,35.1
porcelain_doll,92.8,88.7,80.3,99.6,48.5,48.6,97.8,57.1,37.0,21.2,98.2,99.2,95.5,23.2,9.5,3.3
regulator,75.8,65.8,58.1,97.3,22.6,34.0,85.6,94.7,87.5,72.9,80.1,89.6,83.0,90.4,72.3,60.6
rolled_strip_base,91.9,95.5,89.8,99.5,32.2,40.6,98.3,54.6,36.7,21.8,96.2,98.2,92.8,38.3,25.4,9.7
sim_card_set,96.4,97.0,91.3,99.7,57.0,60.4,96.9,33.3,18.1,9.3,97.0,98.6,94.1,31.7,16.1,6.8
switch,87.9,90.8,80.4,94.0,38.0,47.3,88.5,80.1,64.7,41.9,94.9,97.8,91.4,56.5,34.1,16.7
tape,94.8,93.7,86.3,99.0,45.3,50.8,93.5,54.0,34.3,17.4,98.7,99.4,96.5,15.6,7.2,2.8
terminalblock,88.6,90.7,80.9,99.1,48.6,53.3,97.2,60.8,46.5,36.3,93.2,97.2,89.7,76.1,44.4,24.7
toothbrush,78.8,83.9,73.4,93.4,23.4,32.6,71.3,89.9,80.5,67.0,93.1,96.3,91.3,46.3,28.3,19.3
toy,67.9,76.2,74.2,84.2,17.6,25.2,73.4,92.6,85.9,75.6,67.8,83.7,80.9,92.0,83.9,77.9
toy_brick,72.7,67.2,62.5,97.5,25.9,30.4,85.9,86.6,78.0,69.3,75.1,86.2,82.4,81.5,77.4,62.5
transistor1,79.2,84.0,76.9,95.4,36.5,43.3,80.2,89.2,73.2,57.9,84.7,91.9,86.5,74.2,57.7,37.5
u_block,84.3,79.8,69.9,99.2,49.2,55.2,93.4,86.5,70.5,52.6,92.1,96.4,89.0,79.5,52.6,24.9
usb,83.6,84.5,75.4,97.2,29.3,39.7,88.7,86.6,79.5,61.9,90.5,95.1,88.2,67.1,50.0,31.3
usb_adaptor,84.6,79.4,72.0,98.9,31.3,35.3,92.2,74.1,59.0,44.4,93.6,97.2,92.1,67.0,40.0,13.0
vcpill,88.6,87.0,75.9,98.1,55.0,61.6,83.5,69.3,55.9,41.5,92.8,96.5,88.6,54.4,39.3,26.6
wooden_beads,89.1,88.9,78.4,98.7,48.6,53.3,90.8,74.0,54.8,40.6,92.8,97.4,91.6,74.7,55.8,19.4
woodstick,81.5,68.5,61.9,97.9,55.4,56.4,85.5,84.6,69.3,50.4,76.8,87.9,80.8,90.8,82.4,67.2
zipper,97.0,98.1,93.7,97.8,28.3,29.2,93.1,23.5,13.0,8.8,99.0,99.4,97.2,8.4,4.0,2.8
Mean,83.9,82.6,75.1,97.4,38.7,44.4,89.1,75.8,61.8,47.3,88.7,94.6,88.7,62.5,48.2,33.5
