Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
audiojack,76.4,68.2,59.8,97.0,33.0,40.9,81.0,81.7,72.0,62.4,89.2,94.3,89.0,49.6,40.7,33.3
bottle_cap,82.0,79.4,73.4,98.8,32.3,38.7,94.4,84.4,65.5,46.4,93.8,97.2,89.6,57.7,38.2,23.2
button_battery,77.8,84.8,75.1,98.7,64.0,61.8,89.2,89.9,78.5,65.5,86.4,94.0,85.1,81.7,71.4,49.8
end_cap,80.1,84.8,77.8,97.3,27.7,34.2,90.6,85.0,73.4,57.8,86.8,93.4,86.6,70.1,56.4,40.2
eraser,90.8,89.0,78.8,99.6,49.6,50.1,96.4,64.1,47.0,33.7,89.0,94.9,86.5,65.4,55.3,41.1
fire_hood,87.5,79.7,75.5,99.3,32.5,41.4,91.5,70.2,54.6,37.1,88.4,93.1,88.2,65.6,46.0,29.6
mint,73.6,73.7,68.5,93.5,29.4,38.7,74.8,92.8,82.3,69.8,77.8,94.3,89.7,92.8,84.4,66.5
mounts,86.3,71.7,75.2,98.6,36.3,42.4,96.0,63.4,42.2,29.6,97.4,98.7,95.0,24.1,12.4,4.4
pcb,76.7,85.7,76.8,98.0,29.1,35.9,89.1,91.3,83.0,69.5,83.3,92.3,83.1,89.0,75.6,56.5
phone_battery,90.1,89.7,80.3,99.3,62.7,63.2,95.1,80.1,57.1,35.7,92.7,96.7,89.7,61.8,43.2,23.2
plastic_nut,80.0,74.1,64.5,97.9,40.7,44.1,88.7,87.0,75.9,63.1,92.7,96.2,90.1,43.0,32.7,25.9
plastic_plug,82.9,78.7,68.5,97.4,28.1,37.7,90.2,79.3,66.8,52.8,90.1,95.5,87.9,76.0,45.9,36.8
porcelain_doll,92.6,88.8,80.5,99.6,46.8,47.1,97.7,61.8,40.2,22.8,98.0,99.1,95.9,19.1,8.3,4.6
regulator,74.8,62.0,56.0,97.2,20.3,30.2,85.3,90.1,83.1,71.5,74.4,86.6,81.7,88.0,83.9,71.1
rolled_strip_base,91.7,95.4,89.8,99.5,33.5,42.0,98.4,55.9,35.9,22.3,96.2,98.1,93.0,37.9,20.6,9.7
sim_card_set,96.7,97.4,91.5,99.7,59.1,61.4,97.0,32.0,17.9,8.3,97.4,98.8,95.2,33.7,11.6,5.2
switch,87.5,90.4,80.1,94.0,37.8,46.8,88.5,79.1,63.2,44.7,94.8,97.7,91.7,60.6,32.1,15.4
tape,94.9,94.1,87.0,99.0,45.8,51.2,93.6,55.1,36.5,16.5,98.9,99.5,96.4,12.8,6.4,2.0
terminalblock,88.7,91.0,80.5,99.1,48.8,53.4,97.3,66.8,50.0,37.6,93.0,97.1,89.7,75.3,49.4,26.7
toothbrush,76.4,82.5,71.8,94.0,24.6,34.0,72.4,94.0,87.2,73.4,90.9,95.5,88.8,64.3,49.6,29.5
toy,67.7,75.8,74.2,84.1,17.5,25.2,73.6,92.2,85.4,74.5,67.3,83.3,80.8,92.0,82.7,74.7
toy_brick,72.7,66.9,62.5,97.4,27.5,32.0,85.3,88.0,78.4,68.7,75.4,85.9,82.8,86.7,76.2,60.1
transistor1,80.3,85.5,77.4,95.5,38.1,44.3,80.8,89.5,74.1,57.2,90.5,95.1,88.6,59.7,44.4,26.6
u_block,84.9,80.3,69.8,99.2,50.5,56.3,93.6,86.8,70.3,51.1,93.1,96.8,89.7,68.7,38.2,27.3
usb,83.0,84.0,75.0,97.1,27.2,37.7,88.2,88.6,79.5,64.6,91.0,95.5,89.9,77.2,47.2,23.6
usb_adaptor,84.7,79.7,71.5,98.9,31.6,36.4,92.2,73.0,60.8,43.4,93.5,97.2,92.0,63.5,41.3,15.2
vcpill,88.1,86.5,75.4,98.0,54.0,61.1,83.5,71.2,56.7,44.0,92.5,96.4,88.8,50.8,41.3,26.6
wooden_beads,89.1,88.9,78.6,98.7,48.3,53.1,91.0,75.8,57.6,38.4,92.6,97.3,91.6,73.3,58.5,20.3
woodstick,81.6,68.9,62.3,97.9,54.9,56.2,85.5,84.9,65.8,52.4,78.2,88.6,81.2,94.4,78.0,66.0
zipper,97.0,98.0,93.8,98.0,31.1,33.1,93.9,25.3,12.5,7.5,99.0,99.5,97.2,8.0,5.6,2.8
Mean,83.9,82.5,75.1,97.4,38.8,44.4,89.2,76.0,61.8,47.4,89.5,95.0,89.2,61.4,45.9,31.3
