Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
audiojack,77.5,67.4,61.0,97.0,28.4,36.1,81.0,74.5,65.2,55.8,89.2,94.0,89.7,45.9,36.2,27.6
bottle_cap,81.1,78.4,73.9,98.8,31.3,38.3,94.4,85.9,69.9,48.7,93.7,97.1,89.8,48.0,39.8,26.4
button_battery,75.6,83.2,74.1,98.5,61.3,60.0,88.1,91.4,81.9,70.6,84.0,92.9,83.1,84.6,79.3,59.3
end_cap,80.3,85.0,78.1,97.3,28.2,35.0,90.5,86.1,72.6,58.0,87.6,93.6,87.5,67.6,51.0,36.1
eraser,89.5,87.8,77.6,99.6,49.4,50.1,96.3,73.7,55.6,36.5,85.4,93.2,84.6,80.1,64.2,50.0
fire_hood,87.2,79.3,74.7,99.3,32.9,41.0,91.2,69.2,53.0,39.4,88.2,92.8,88.3,64.0,47.2,29.6
mint,73.0,72.8,68.4,93.4,28.3,37.9,74.7,91.5,84.2,69.1,76.1,94.0,89.8,97.0,88.0,71.3
mounts,86.5,72.2,74.5,98.6,35.8,42.2,95.8,61.4,41.0,29.1,97.4,98.8,95.3,28.5,10.0,4.0
pcb,77.2,85.7,77.3,98.1,31.2,38.0,89.3,93.1,81.2,67.5,82.2,91.3,83.6,89.4,73.2,54.9
phone_battery,90.5,90.1,81.6,99.3,63.0,63.2,95.1,79.7,55.1,33.9,93.1,96.9,89.8,61.4,39.0,24.1
plastic_nut,80.7,75.2,66.3,97.8,41.6,44.7,88.7,88.2,76.1,62.1,94.3,97.0,91.3,39.8,26.3,19.9
plastic_plug,82.6,78.5,68.2,97.4,28.2,37.9,90.3,80.1,65.6,53.0,89.6,95.3,87.6,74.4,47.5,35.5
porcelain_doll,93.0,89.1,81.0,99.6,48.8,48.4,97.7,58.5,37.3,20.7,98.5,99.3,96.2,17.0,7.5,3.3
regulator,75.3,63.3,57.2,97.2,22.0,32.2,85.3,93.9,85.9,70.3,75.0,86.8,82.5,92.0,75.1,65.5
rolled_strip_base,95.6,97.7,92.1,99.7,43.5,52.4,99.0,42.3,23.5,12.3,98.5,99.3,96.6,10.1,5.6,2.8
sim_card_set,96.3,96.9,91.1,99.7,55.6,59.9,97.0,31.6,18.1,9.8,97.2,98.7,94.2,24.1,15.3,4.4
switch,88.0,90.8,80.2,94.1,38.4,47.7,88.5,76.6,59.7,43.8,95.0,97.8,91.7,57.3,30.5,16.3
tape,95.0,93.9,86.3,99.1,46.0,51.2,93.7,53.1,32.7,16.0,98.7,99.4,96.1,17.6,6.0,2.4
terminalblock,88.7,91.0,81.3,99.0,51.0,54.4,97.1,69.4,50.7,34.7,91.2,96.4,87.8,75.7,61.3,37.0
toothbrush,78.6,83.9,73.5,93.9,24.4,33.2,72.4,93.8,84.0,67.3,93.1,96.4,90.8,46.3,32.4,20.5
toy,77.8,83.5,77.3,83.7,16.7,24.1,73.3,82.5,71.2,60.5,83.4,92.0,82.9,84.7,73.1,55.0
toy_brick,71.7,65.5,61.8,97.5,23.9,30.0,85.6,89.5,79.2,70.9,74.4,85.2,81.7,86.7,80.2,64.9
transistor1,79.7,84.6,76.7,95.4,36.4,43.1,80.4,88.4,74.1,59.5,86.7,93.0,87.0,66.9,48.8,38.3
u_block,85.1,81.0,71.6,99.1,50.3,56.3,93.4,86.3,70.2,52.5,94.7,97.4,92.0,52.6,32.1,12.9
usb,83.7,84.8,75.6,97.3,30.3,39.9,88.9,88.0,75.8,62.5,90.8,95.5,89.0,78.0,57.3,29.7
usb_adaptor,84.7,79.9,72.2,98.9,32.0,36.8,92.0,75.1,59.0,44.5,93.8,97.3,92.4,60.9,37.4,14.3
vcpill,88.3,87.0,76.0,98.1,56.0,62.3,83.9,74.6,56.4,42.1,92.4,96.4,88.6,61.5,45.6,26.6
wooden_beads,88.8,88.7,78.6,98.7,49.0,53.5,91.0,75.1,57.8,41.4,92.3,97.2,91.3,75.6,59.4,22.1
woodstick,81.3,67.8,61.8,97.9,54.1,55.2,85.5,85.2,65.4,51.1,77.2,87.8,82.2,91.6,77.6,60.8
zipper,96.7,97.9,93.4,97.8,27.8,29.1,93.2,26.4,14.7,8.9,98.9,99.4,96.9,10.8,4.4,2.4
Mean,84.3,82.8,75.4,97.4,38.9,44.5,89.1,75.5,60.6,46.4,89.8,95.1,89.3,59.7,45.0,30.6
