Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
audiojack,76.0,65.5,59.9,96.9,25.7,32.9,80.5,78.2,69.5,58.7,89.5,94.2,90.4,43.9,32.9,26.8
bottle_cap,79.7,77.1,71.8,98.7,31.0,38.2,93.9,86.6,73.0,52.1,93.8,97.1,89.3,53.3,38.2,26.4
button_battery,75.0,82.8,73.8,98.4,60.6,59.6,87.9,92.4,82.5,70.9,84.3,93.1,83.3,85.5,80.1,58.5
end_cap,79.6,84.6,77.7,97.2,28.0,35.1,90.0,85.8,74.5,58.4,87.8,93.8,86.9,69.7,52.3,38.2
eraser,88.6,87.0,76.7,99.5,49.5,50.2,96.0,76.9,58.5,39.7,83.6,92.5,83.4,87.4,76.4,57.7
fire_hood,87.1,79.0,74.5,99.2,31.9,40.7,90.7,70.8,56.0,39.7,87.6,92.5,87.6,72.0,52.0,33.2
mint,72.0,70.3,67.9,92.9,25.6,36.7,73.1,92.2,81.4,69.9,72.0,92.6,89.7,93.4,85.0,72.5
mounts,86.5,72.6,74.8,98.5,36.4,42.9,95.6,61.1,43.5,29.1,97.6,98.9,95.7,23.7,8.4,3.6
pcb,75.3,84.2,76.8,97.7,27.9,35.5,88.3,93.7,81.2,69.4,81.1,90.6,83.2,84.6,69.5,58.9
phone_battery,89.9,89.6,80.1,99.3,62.0,63.3,94.6,80.1,56.3,39.0,92.2,96.7,88.9,65.6,46.5,29.9
plastic_nut,79.9,73.7,65.1,97.7,41.6,44.7,88.0,87.3,77.0,64.1,92.1,95.9,89.1,49.0,38.2,27.1
plastic_plug,82.0,78.0,67.9,97.3,27.6,37.4,90.1,84.7,69.0,55.2,89.2,95.1,86.8,77.3,55.0,38.4
porcelain_doll,93.0,89.1,80.6,99.6,48.8,48.7,97.7,54.4,38.5,20.8,98.4,99.3,96.3,17.4,6.6,4.6
regulator,73.1,59.6,54.6,96.8,15.7,24.8,83.6,93.8,87.2,75.5,70.6,84.2,81.4,91.6,83.9,72.3
rolled_strip_base,95.0,97.4,91.5,99.7,43.5,52.2,98.9,42.7,27.7,15.5,98.5,99.2,96.4,14.1,6.5,2.4
sim_card_set,95.7,96.4,90.3,99.7,56.2,60.2,96.7,37.9,21.4,12.2,96.6,98.4,93.1,34.5,21.3,8.8
switch,86.1,89.2,78.8,94.0,36.8,46.0,88.1,83.5,66.3,48.2,93.6,97.2,89.9,61.0,41.9,24.8
tape,94.5,93.3,85.4,99.0,46.1,51.4,93.5,54.9,33.7,19.6,98.4,99.3,95.7,21.6,8.0,2.0
terminalblock,88.5,90.9,80.7,98.9,50.0,54.1,96.8,68.3,50.4,37.0,92.8,97.0,89.6,70.8,48.1,24.3
toothbrush,78.0,83.5,72.8,93.8,25.2,34.2,72.1,94.6,83.7,68.2,92.9,96.4,90.4,54.9,34.4,21.3
toy,73.3,80.8,75.4,83.5,16.5,24.1,72.6,86.7,79.4,69.1,82.9,91.7,82.6,81.1,73.5,62.7
toy_brick,69.0,61.9,60.4,97.2,18.0,24.7,84.3,90.2,83.1,74.4,73.0,83.2,81.9,91.5,80.2,62.5
transistor1,72.6,76.8,75.4,95.2,31.3,38.0,79.6,86.6,77.1,63.3,72.1,84.7,82.3,81.9,74.6,66.5
u_block,83.7,78.3,69.0,99.1,48.3,54.3,92.7,87.1,71.1,54.5,91.7,96.0,88.2,64.3,45.8,29.3
usb,81.9,81.8,73.1,97.1,26.7,37.3,88.5,86.5,76.0,62.4,88.3,94.2,87.3,80.5,57.3,40.2
usb_adaptor,84.5,79.6,71.5,98.9,31.4,36.1,91.9,73.3,61.8,44.1,93.5,97.2,92.0,69.6,40.9,14.8
vcpill,87.9,86.7,75.6,98.0,55.8,62.2,84.2,77.6,60.3,41.7,91.5,96.0,87.7,63.9,52.4,34.1
wooden_beads,88.9,88.8,78.1,98.7,49.3,54.0,90.9,75.2,56.9,41.4,92.7,97.3,91.2,71.4,51.6,20.7
woodstick,80.5,66.8,60.5,97.8,53.7,54.8,85.3,85.5,68.0,51.8,76.6,87.5,81.6,91.2,76.8,62.0
zipper,95.3,97.0,91.3,97.6,26.5,26.8,92.9,36.8,25.2,13.5,98.0,99.0,95.8,21.2,8.0,5.2
Mean,83.1,81.4,74.4,97.3,37.6,43.4,88.6,76.8,63.0,48.6,88.4,94.4,88.6,62.9,48.2,34.3
