Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
audiojack,76.8 ± 0.6,68.5 ± 1.2,60.3 ± 0.6,97.1 ± 0.1,33.0 ± 4.7,40.7 ± 4.5,81.3 ± 0.5,81.2 ± 6.5,71.6 ± 6.2,61.9 ± 5.9,85.6 ± 6.2,92.6 ± 2.6,87.0 ± 4.1,61.4 ± 23.7,51.1 ± 22.0,42.4 ± 20.9
bottle_cap,81.6 ± 0.5,78.9 ± 0.5,73.7 ± 0.3,98.8 ± 0.0,31.9 ± 0.6,38.5 ± 0.2,94.4 ± 0.0,85.6 ± 1.0,67.3 ± 2.3,47.0 ± 1.5,93.6 ± 0.2,97.1 ± 0.2,89.5 ± 0.3,51.1 ± 5.7,38.6 ± 1.1,24.9 ± 1.6
button_battery,77.1 ± 1.3,84.2 ± 0.9,75.0 ± 0.9,98.6 ± 0.1,62.7 ± 1.4,60.9 ± 0.9,88.7 ± 0.6,90.1 ± 1.2,78.8 ± 3.0,66.4 ± 3.9,85.1 ± 1.2,93.3 ± 0.6,84.2 ± 1.0,81.4 ± 3.3,73.7 ± 4.8,53.8 ± 4.9
end_cap,79.9 ± 0.5,84.6 ± 0.5,77.8 ± 0.4,97.3 ± 0.0,27.7 ± 0.5,34.2 ± 0.8,90.5 ± 0.1,85.6 ± 0.6,72.5 ± 0.9,57.8 ± 0.2,86.6 ± 1.2,93.2 ± 0.6,86.8 ± 0.7,70.0 ± 2.3,55.4 ± 4.0,39.1 ± 2.7
eraser,90.0 ± 0.7,88.2 ± 0.7,78.0 ± 0.7,99.6 ± 0.0,49.6 ± 0.2,50.2 ± 0.1,96.3 ± 0.1,68.8 ± 4.8,52.3 ± 4.6,35.4 ± 1.5,86.4 ± 2.3,93.6 ± 1.1,85.5 ± 1.0,75.2 ± 8.5,59.6 ± 4.5,47.3 ± 5.4
fire_hood,87.4 ± 0.2,79.6 ± 0.3,74.7 ± 0.8,99.3 ± 0.0,32.9 ± 0.4,41.4 ± 0.4,91.3 ± 0.2,69.9 ± 0.6,53.2 ± 1.4,37.8 ± 1.4,88.1 ± 0.3,92.9 ± 0.2,88.1 ± 0.3,64.8 ± 0.8,48.3 ± 2.9,30.1 ± 0.9
mint,72.9 ± 0.8,72.8 ± 0.9,68.2 ± 0.4,93.4 ± 0.2,28.4 ± 1.0,38.1 ± 0.5,74.6 ± 0.2,92.4 ± 0.8,84.0 ± 1.7,70.3 ± 1.6,75.6 ± 2.5,93.8 ± 0.6,89.7 ± 0.1,94.8 ± 2.1,87.6 ± 3.0,73.5 ± 8.3
mounts,86.3 ± 0.3,71.8 ± 0.4,74.6 ± 0.6,98.6 ± 0.0,36.2 ± 0.4,42.3 ± 0.1,95.9 ± 0.1,62.3 ± 1.0,42.6 ± 1.8,29.7 ± 0.6,97.2 ± 0.3,98.7 ± 0.2,95.0 ± 0.4,28.2 ± 4.0,13.1 ± 3.5,4.7 ± 0.8
pcb,77.1 ± 0.3,85.8 ± 0.2,77.1 ± 0.3,98.1 ± 0.1,30.7 ± 1.5,37.6 ± 1.5,89.3 ± 0.2,91.7 ± 1.2,81.7 ± 1.2,68.1 ± 1.2,83.0 ± 0.7,91.9 ± 0.5,83.5 ± 0.4,86.6 ± 4.6,73.9 ± 1.5,55.6 ± 0.8
phone_battery,90.2 ± 0.3,89.8 ± 0.3,80.7 ± 0.8,99.3 ± 0.0,63.0 ± 0.3,63.3 ± 0.1,95.1 ± 0.0,80.0 ± 0.2,56.5 ± 1.3,34.8 ± 0.9,92.5 ± 0.8,96.6 ± 0.3,89.2 ± 1.0,61.1 ± 0.8,44.6 ± 6.4,27.1 ± 6.0
plastic_nut,80.4 ± 0.4,74.7 ± 0.6,65.3 ± 0.9,97.8 ± 0.1,41.2 ± 0.5,44.5 ± 0.3,88.7 ± 0.1,88.0 ± 0.9,76.3 ± 0.5,62.8 ± 0.6,93.6 ± 0.8,96.7 ± 0.4,90.7 ± 0.6,41.5 ± 1.6,30.2 ± 3.4,21.6 ± 3.7
plastic_plug,82.7 ± 0.2,78.5 ± 0.3,68.2 ± 0.3,97.4 ± 0.1,27.6 ± 0.9,37.4 ± 0.8,90.1 ± 0.3,79.8 ± 0.4,66.0 ± 0.7,53.0 ± 0.2,89.9 ± 0.3,95.4 ± 0.1,87.6 ± 0.3,72.2 ± 5.3,47.4 ± 1.5,35.8 ± 0.9
porcelain_doll,92.8 ± 0.2,88.9 ± 0.2,80.6 ± 0.4,99.6 ± 0.0,48.0 ± 1.1,48.0 ± 0.8,97.7 ± 0.1,59.1 ± 2.4,38.2 ± 1.8,21.6 ± 1.1,98.2 ± 0.3,99.2 ± 0.1,95.9 ± 0.4,19.8 ± 3.2,8.4 ± 1.0,3.7 ± 0.8
regulator,75.3 ± 0.5,63.7 ± 1.9,57.1 ± 1.1,97.2 ± 0.1,21.6 ± 1.2,32.1 ± 1.9,85.4 ± 0.2,92.9 ± 2.5,85.5 ± 2.2,71.6 ± 1.3,76.5 ± 3.1,87.7 ± 1.7,82.4 ± 0.7,90.1 ± 2.0,77.1 ± 6.1,65.7 ± 5.3
rolled_strip_base,93.1 ± 2.2,96.2 ± 1.3,90.6 ± 1.3,99.6 ± 0.1,36.4 ± 6.2,45.0 ± 6.4,98.6 ± 0.4,50.9 ± 7.5,32.0 ± 7.4,18.8 ± 5.6,97.0 ± 1.3,98.5 ± 0.7,94.1 ± 2.1,28.8 ± 16.2,17.2 ± 10.3,7.4 ± 4.0
sim_card_set,96.5 ± 0.2,97.1 ± 0.3,91.3 ± 0.2,99.7 ± 0.0,57.2 ± 1.8,60.6 ± 0.8,97.0 ± 0.1,32.3 ± 0.9,18.0 ± 0.1,9.1 ± 0.8,97.2 ± 0.2,98.7 ± 0.1,94.5 ± 0.6,29.8 ± 5.1,14.3 ± 2.4,5.5 ± 1.2
switch,87.8 ± 0.3,90.7 ± 0.2,80.2 ± 0.2,94.0 ± 0.1,38.1 ± 0.3,47.3 ± 0.5,88.5 ± 0.0,78.6 ± 1.8,62.5 ± 2.6,43.5 ± 1.4,94.9 ± 0.1,97.8 ± 0.1,91.6 ± 0.2,58.1 ± 2.2,32.2 ± 1.8,16.1 ± 0.7
tape,94.9 ± 0.1,93.9 ± 0.2,86.5 ± 0.4,99.0 ± 0.1,45.7 ± 0.4,51.1 ± 0.2,93.6 ± 0.1,54.1 ± 1.0,34.5 ± 1.9,16.6 ± 0.7,98.8 ± 0.1,99.4 ± 0.1,96.3 ± 0.2,15.3 ± 2.4,6.5 ± 0.6,2.4 ± 0.4
terminalblock,88.7 ± 0.1,90.9 ± 0.2,80.9 ± 0.4,99.1 ± 0.1,49.5 ± 1.3,53.7 ± 0.6,97.2 ± 0.1,65.7 ± 4.4,49.1 ± 2.3,36.2 ± 1.5,92.5 ± 1.1,96.9 ± 0.4,89.1 ± 1.1,75.7 ± 0.4,51.7 ± 8.7,29.5 ± 6.6
toothbrush,77.9 ± 1.3,83.4 ± 0.8,72.9 ± 1.0,93.8 ± 0.3,24.1 ± 0.6,33.3 ± 0.7,72.0 ± 0.6,92.6 ± 2.3,83.9 ± 3.4,69.2 ± 3.6,92.4 ± 1.3,96.1 ± 0.5,90.3 ± 1.3,52.3 ± 10.4,36.8 ± 11.3,23.1 ± 5.6
toy,71.1 ± 5.8,78.5 ± 4.3,75.2 ± 1.8,84.0 ± 0.3,17.3 ± 0.5,24.8 ± 0.6,73.4 ± 0.2,89.1 ± 5.7,80.8 ± 8.3,70.2 ± 8.4,72.8 ± 9.2,86.3 ± 4.9,81.5 ± 1.2,89.6 ± 4.2,79.9 ± 5.9,69.2 ± 12.4
toy_brick,72.4 ± 0.6,66.5 ± 0.9,62.3 ± 0.4,97.5 ± 0.1,25.8 ± 1.8,30.8 ± 1.1,85.6 ± 0.3,88.0 ± 1.5,78.5 ± 0.6,69.6 ± 1.1,75.0 ± 0.5,85.8 ± 0.5,82.3 ± 0.6,85.0 ± 3.0,77.9 ± 2.1,62.5 ± 2.4
transistor1,79.7 ± 0.6,84.7 ± 0.8,77.0 ± 0.4,95.4 ± 0.1,37.0 ± 1.0,43.6 ± 0.6,80.5 ± 0.3,89.0 ± 0.6,73.8 ± 0.5,58.2 ± 1.2,87.3 ± 2.9,93.3 ± 1.6,87.4 ± 1.1,66.9 ± 7.3,50.3 ± 6.8,34.1 ± 6.5
u_block,84.8 ± 0.4,80.4 ± 0.6,70.4 ± 1.0,99.2 ± 0.1,50.0 ± 0.7,55.9 ± 0.6,93.5 ± 0.1,86.5 ± 0.3,70.3 ± 0.2,52.1 ± 0.8,93.3 ± 1.3,96.9 ± 0.5,90.2 ± 1.6,66.9 ± 13.5,41.0 ± 10.5,21.7 ± 7.7
usb,83.4 ± 0.4,84.4 ± 0.4,75.3 ± 0.3,97.2 ± 0.1,28.9 ± 1.6,39.1 ± 1.2,88.6 ± 0.4,87.7 ± 1.0,78.3 ± 2.1,63.0 ± 1.4,90.8 ± 0.3,95.4 ± 0.2,89.0 ± 0.9,74.1 ± 6.1,51.5 ± 5.2,28.2 ± 4.1
usb_adaptor,84.7 ± 0.1,79.7 ± 0.3,71.9 ± 0.4,98.9 ± 0.0,31.6 ± 0.4,36.2 ± 0.8,92.1 ± 0.1,74.1 ± 1.1,59.6 ± 1.0,44.1 ± 0.6,93.6 ± 0.2,97.2 ± 0.1,92.2 ± 0.2,63.8 ± 3.1,39.6 ± 2.0,14.2 ± 1.1
vcpill,88.3 ± 0.3,86.8 ± 0.3,75.8 ± 0.3,98.1 ± 0.1,55.0 ± 1.0,61.7 ± 0.6,83.6 ± 0.2,71.7 ± 2.7,56.3 ± 0.4,42.5 ± 1.3,92.6 ± 0.2,96.4 ± 0.1,88.7 ± 0.1,55.6 ± 5.4,42.1 ± 3.2,26.6 ± 0.0
wooden_beads,89.0 ± 0.2,88.8 ± 0.1,78.5 ± 0.1,98.7 ± 0.0,48.6 ± 0.4,53.3 ± 0.2,90.9 ± 0.1,75.0 ± 0.9,56.7 ± 1.7,40.1 ± 1.6,92.6 ± 0.3,97.3 ± 0.1,91.5 ± 0.2,74.5 ± 1.2,57.9 ± 1.9,20.6 ± 1.4
woodstick,81.5 ± 0.2,68.4 ± 0.6,62.0 ± 0.3,97.9 ± 0.0,54.8 ± 0.7,55.9 ± 0.6,85.5 ± 0.0,84.9 ± 0.3,66.8 ± 2.1,51.3 ± 1.0,77.4 ± 0.7,88.1 ± 0.4,81.4 ± 0.7,92.3 ± 1.9,79.3 ± 2.7,64.7 ± 3.4
zipper,96.9 ± 0.2,98.0 ± 0.1,93.6 ± 0.2,97.9 ± 0.1,29.1 ± 1.8,30.5 ± 2.3,93.4 ± 0.4,25.1 ± 1.5,13.4 ± 1.2,8.4 ± 0.8,99.0 ± 0.1,99.4 ± 0.1,97.1 ± 0.2,9.1 ± 1.5,4.7 ± 0.8,2.7 ± 0.2
Mean,84.0 ± 0.2,82.6 ± 0.2,75.2 ± 0.2,97.4 ± 0.0,38.8 ± 0.1,44.4 ± 0.1,89.1 ± 0.1,75.8 ± 0.3,61.4 ± 0.7,47.0 ± 0.6,89.3 ± 0.6,94.9 ± 0.3,89.1 ± 0.3,61.2 ± 1.4,46.4 ± 1.7,31.8 ± 1.5
