Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
audiojack,72.3,64.5,56.2,96.9,29.9,37.5,80.7,88.0,82.2,71.1,82.3,91.1,84.5,75.6,65.0,55.7
bottle_cap,81.4,78.7,72.4,98.7,31.7,38.8,93.9,81.2,65.6,49.5,93.4,96.9,89.5,54.5,38.6,24.4
button_battery,74.9,82.1,74.3,98.3,57.7,57.1,87.5,92.3,80.3,69.8,82.6,92.3,82.7,88.4,78.8,68.9
end_cap,76.9,82.6,76.2,96.8,26.6,33.9,88.2,87.2,76.8,63.2,84.3,92.0,85.6,71.4,61.8,44.8
eraser,89.0,87.0,75.6,99.5,49.5,50.2,96.3,69.6,54.1,37.1,86.1,93.5,85.2,72.0,61.8,48.8
fire_hood,87.1,79.3,74.2,99.1,33.2,41.4,90.9,69.9,54.5,37.3,86.6,92.2,86.1,76.4,54.0,38.8
mint,70.4,69.4,66.8,92.4,26.1,37.1,72.1,94.1,84.8,72.7,72.3,92.4,89.7,98.8,93.4,78.4
mounts,85.7,71.9,73.7,98.5,37.4,43.4,95.4,67.8,50.2,33.0,95.8,98.1,93.6,45.4,20.1,8.0
pcb,72.5,82.5,76.2,97.4,23.3,30.7,87.2,92.2,85.5,74.4,80.0,90.4,82.1,90.7,81.7,62.2
phone_battery,89.1,88.7,79.7,99.2,59.6,62.7,94.0,78.8,60.5,41.6,93.0,96.8,90.1,56.0,37.3,22.0
plastic_nut,78.5,70.7,62.6,97.6,40.8,44.3,87.1,88.3,75.7,63.6,92.3,95.8,90.2,48.2,35.5,21.9
plastic_plug,81.9,77.9,67.2,97.1,26.8,36.8,89.6,81.1,68.0,55.5,89.9,95.5,87.7,74.4,60.7,34.7
porcelain_doll,92.5,88.6,80.3,99.5,48.7,49.3,97.5,65.7,41.4,22.7,98.2,99.2,95.9,18.3,9.1,5.0
regulator,70.9,56.8,51.9,96.0,9.4,17.9,80.9,94.2,86.5,78.2,70.2,83.4,81.3,93.2,83.5,74.3
rolled_strip_base,90.4,94.7,88.5,99.5,35.2,44.1,98.3,60.9,42.0,27.7,95.5,97.8,92.4,39.1,25.4,12.9
sim_card_set,95.7,96.5,90.1,99.6,56.5,60.8,96.6,39.0,20.2,12.5,96.7,98.4,93.7,34.1,16.5,7.6
switch,84.8,88.1,77.5,93.8,34.0,43.2,88.0,82.7,66.2,50.3,92.6,96.8,90.4,75.6,40.7,24.0
tape,94.6,93.6,85.8,98.9,45.8,51.2,92.8,55.5,36.3,18.9,98.6,99.4,96.1,18.4,6.0,1.6
terminalblock,86.0,89.0,78.9,98.8,47.6,52.9,96.4,76.6,59.1,43.4,90.8,96.2,87.8,83.5,63.8,35.0
toothbrush,75.0,81.2,71.3,92.9,22.0,30.8,69.1,92.4,84.4,73.1,91.0,95.4,89.0,57.8,43.0,27.0
toy,58.1,68.8,73.6,84.4,12.4,19.2,71.8,95.3,90.2,83.9,63.8,81.1,80.4,94.4,88.8,79.9
toy_brick,70.9,63.8,62.0,97.1,19.5,25.9,84.2,90.4,81.6,72.0,73.1,83.0,82.6,84.7,75.0,64.1
transistor1,68.3,73.1,74.0,95.2,22.5,29.8,79.2,89.1,79.7,70.4,64.3,79.6,81.1,91.1,82.7,74.6
u_block,83.3,77.6,68.0,99.0,48.9,54.7,91.8,84.3,70.1,52.3,90.7,95.6,87.7,74.7,52.2,32.9
usb,79.6,80.1,71.0,96.5,23.3,34.3,86.5,90.4,78.5,65.4,87.0,93.5,86.2,78.5,59.8,41.1
usb_adaptor,84.6,80.2,72.4,98.8,31.7,36.9,91.4,75.8,62.6,45.9,93.5,97.2,92.0,76.1,37.0,15.7
vcpill,87.4,85.5,74.5,97.9,52.9,59.2,82.6,72.8,59.1,42.6,90.1,95.3,86.9,72.2,55.6,34.1
wooden_beads,88.5,88.5,77.8,98.7,49.5,54.0,90.6,78.6,59.7,42.6,92.4,97.2,91.2,71.4,47.9,23.5
woodstick,78.6,64.1,58.3,97.5,52.6,54.7,83.6,86.4,70.7,54.4,74.2,86.3,80.6,94.0,83.2,69.2
zipper,95.1,96.9,91.1,97.4,25.9,26.0,92.6,38.0,22.9,14.4,98.0,99.0,95.8,20.4,10.0,6.0
Mean,81.5,80.1,73.4,97.1,36.0,42.0,87.9,78.6,65.0,51.3,86.6,93.4,87.9,67.6,52.3,37.9
