Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
audiojack,74.3,66.9,57.7,97.0,34.5,41.8,81.0,86.2,78.1,67.8,80.0,90.1,83.4,80.9,69.9,58.5
bottle_cap,81.7,79.0,73.2,98.8,32.1,38.8,94.2,82.8,69.0,49.2,93.4,96.9,89.2,47.2,39.0,26.4
button_battery,77.3,83.7,75.6,98.5,61.0,59.3,88.7,88.0,76.8,63.6,81.8,91.8,83.1,85.5,72.6,63.1
end_cap,78.1,83.3,76.8,97.1,27.4,34.3,89.4,85.4,74.4,61.6,85.1,92.5,85.8,69.3,60.6,45.6
eraser,89.4,87.5,76.9,99.6,49.9,50.5,96.2,70.9,53.2,36.8,85.0,93.0,85.3,76.0,60.6,49.6
fire_hood,86.7,79.2,74.2,99.1,32.9,41.2,90.5,71.3,56.0,38.8,86.2,92.1,85.8,76.4,59.6,42.0
mint,71.4,71.2,66.8,92.9,26.8,37.6,73.3,93.3,86.4,71.9,72.5,92.9,89.9,95.2,89.8,83.2
mounts,86.2,72.3,74.1,98.6,37.4,43.2,95.9,62.4,46.2,31.0,96.3,98.3,94.0,46.6,20.1,6.0
pcb,75.7,84.8,76.7,97.9,30.0,37.4,88.9,92.0,82.2,70.0,81.1,90.7,82.9,87.0,72.4,60.6
phone_battery,89.6,89.4,80.6,99.3,62.1,63.5,94.7,82.4,59.4,38.7,92.1,96.6,89.0,65.6,49.0,30.7
plastic_nut,80.1,73.9,65.6,97.8,41.2,44.5,88.1,88.4,77.4,64.0,92.8,96.3,90.0,49.4,38.2,21.9
plastic_plug,81.9,77.8,67.0,97.3,26.6,36.8,89.9,80.5,68.4,54.7,89.5,95.3,86.9,77.3,59.9,40.1
porcelain_doll,92.7,88.9,80.6,99.6,48.7,49.1,97.7,58.7,37.6,21.9,98.3,99.2,96.0,19.5,7.9,2.9
regulator,74.6,62.2,55.5,96.8,15.6,25.5,83.9,94.9,86.1,73.2,75.5,86.9,82.1,86.7,80.3,68.7
rolled_strip_base,91.3,95.2,89.1,99.5,34.7,43.5,98.3,58.8,39.1,24.4,96.2,98.1,93.3,39.5,24.2,9.3
sim_card_set,95.9,96.6,90.4,99.7,57.4,61.0,96.7,35.4,22.4,11.5,96.5,98.4,93.2,39.8,23.7,6.8
switch,86.4,89.4,78.7,93.9,35.3,44.8,88.2,82.4,66.2,46.3,93.7,97.3,91.0,67.5,37.8,18.3
tape,94.7,93.7,86.4,99.0,45.7,51.0,93.3,53.5,35.0,17.6,98.7,99.4,96.4,14.0,7.2,2.4
terminalblock,86.3,89.1,79.5,98.9,48.5,53.5,96.7,75.7,57.9,41.5,89.9,96.0,87.5,87.2,69.1,45.7
toothbrush,75.8,81.8,71.8,92.9,21.9,30.8,68.8,91.5,81.7,72.0,92.0,95.8,90.2,57.4,33.6,22.1
toy,67.1,75.7,73.8,84.1,17.1,24.8,72.7,93.8,86.9,77.7,68.3,84.0,80.9,93.2,85.9,74.3
toy_brick,72.8,66.9,62.8,97.5,24.3,29.7,85.6,89.2,79.1,68.4,76.1,86.3,82.7,84.7,73.0,61.7
transistor1,70.7,75.5,75.0,95.2,27.4,33.6,79.5,86.4,76.5,65.6,69.7,83.7,81.7,88.7,77.8,71.8
u_block,84.7,80.3,70.1,99.1,49.9,55.9,92.9,84.2,69.8,52.3,92.3,96.5,89.6,78.7,53.4,26.5
usb,81.8,82.8,73.4,97.0,27.4,38.3,87.9,89.3,80.3,64.7,89.1,94.5,87.6,74.0,55.7,34.6
usb_adaptor,84.6,80.0,72.3,98.9,31.6,36.0,91.8,74.7,62.5,47.4,93.5,97.2,91.9,67.8,40.0,15.7
vcpill,88.1,86.4,75.2,98.0,54.1,60.7,83.4,71.6,54.6,41.8,91.5,96.0,88.0,62.3,50.0,30.2
wooden_beads,89.1,89.0,78.1,98.7,48.7,53.6,90.9,73.4,57.9,37.4,93.0,97.4,91.5,69.6,47.5,19.4
woodstick,80.7,66.9,61.2,97.8,54.4,55.4,85.0,84.9,69.0,52.3,76.2,87.4,81.1,93.2,83.6,67.6
zipper,96.6,97.8,93.2,97.7,27.5,27.9,93.0,25.4,15.5,10.3,98.6,99.3,96.7,14.8,5.6,3.2
Mean,82.9,81.6,74.4,97.3,37.7,43.5,88.6,76.9,63.5,49.1,87.5,94.0,88.2,66.5,51.6,37.0
