Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
audiojack,63.7,48.3,53.4,94.9,11.2,20.9,71.2,91.4,84.9,76.3,63.8,76.9,82.6,85.0,78.0,73.6
bottle_cap,66.2,62.9,61.1,98.0,25.5,36.2,90.8,98.4,94.2,83.9,84.6,92.2,85.1,80.1,63.8,48.8
button_battery,70.6,78.0,73.5,98.2,50.6,54.0,84.4,94.1,86.3,73.4,81.7,91.1,84.9,85.1,65.1,53.1
end_cap,66.2,71.1,73.9,95.1,9.8,18.1,81.5,94.0,85.0,73.9,72.1,84.5,82.7,88.0,76.8,70.1
eraser,86.5,85.9,76.1,99.4,36.7,45.2,94.9,84.4,70.0,52.1,86.2,93.6,85.7,79.3,64.6,46.3
fire_hood,80.1,70.8,64.9,99.0,36.5,42.5,89.9,79.6,65.8,54.5,81.4,89.2,83.4,82.0,70.4,55.2
mint,66.5,65.9,64.9,93.5,25.9,38.4,73.9,95.6,86.8,79.2,66.3,90.5,89.7,97.6,92.8,85.6
mounts,79.8,66.6,67.5,98.0,38.9,46.1,92.6,81.7,64.0,50.6,89.0,94.4,88.8,57.4,41.0,30.5
pcb,61.8,73.0,75.5,94.4,7.3,13.4,78.0,98.3,94.6,87.1,67.9,81.6,81.2,90.2,82.9,69.1
phone_battery,82.1,81.1,71.0,76.1,23.2,34.4,89.3,90.7,80.0,61.1,85.0,93.3,84.6,87.1,71.4,50.6
plastic_nut,68.5,55.4,54.5,96.1,33.0,43.3,81.1,91.8,84.4,71.7,90.3,94.0,89.8,48.2,34.3,23.9
plastic_plug,69.4,57.6,60.5,96.3,22.6,33.1,85.5,92.5,81.6,69.7,80.5,90.3,82.6,90.9,77.7,63.6
porcelain_doll,78.0,60.7,67.6,99.1,42.5,44.4,95.3,72.5,49.9,40.3,79.1,90.4,83.2,82.6,75.5,65.1
regulator,72.7,53.1,53.6,92.2,16.9,29.6,66.0,82.2,74.1,63.5,61.3,77.8,81.1,92.8,85.9,79.1
rolled_strip_base,87.0,93.5,85.5,98.5,34.5,40.4,94.9,78.8,66.3,42.6,96.1,98.1,93.1,38.3,20.2,11.7
sim_card_set,89.3,92.8,84.4,99.5,58.3,59.2,95.4,88.1,68.1,41.0,92.7,97.0,90.5,87.1,52.2,19.3
switch,67.6,72.7,70.4,84.5,11.7,18.8,80.2,89.3,82.6,73.6,82.7,92.2,83.5,91.5,76.0,56.5
tape,92.9,91.3,82.8,97.0,40.6,50.2,84.4,62.1,43.8,25.1,97.9,99.0,94.6,26.4,13.2,6.4
terminalblock,76.9,81.9,71.6,96.8,35.7,43.8,88.6,92.7,80.0,68.2,80.6,91.1,81.5,96.7,84.0,70.4
toothbrush,58.3,66.1,69.9,91.1,11.1,17.6,65.0,95.9,90.5,81.6,81.0,90.1,84.0,85.2,72.5,51.6
toy,63.3,71.5,73.5,81.6,9.3,17.7,62.1,95.8,90.7,79.3,67.4,81.2,80.6,95.6,88.0,76.3
toy_brick,69.3,61.1,61.6,97.5,22.6,29.7,85.8,91.0,82.7,71.3,71.1,82.2,81.9,84.7,79.0,65.3
transistor1,71.4,75.5,75.4,91.7,22.9,32.4,67.5,85.4,74.8,63.7,70.3,84.0,81.1,94.0,83.5,71.0
u_block,77.3,65.1,62.9,98.6,33.7,42.9,89.6,91.8,80.8,66.6,80.3,88.2,84.9,77.1,62.2,45.0
usb,63.2,57.9,65.0,93.2,5.1,9.9,76.2,92.7,84.4,73.8,56.5,72.5,81.0,93.9,92.3,84.6
usb_adaptor,72.8,62.3,63.7,97.1,15.0,25.0,83.5,90.1,79.3,64.9,69.9,83.5,83.3,88.3,83.0,72.6
vcpill,80.7,76.3,67.7,98.0,47.9,52.6,85.2,82.1,70.4,56.4,77.8,89.1,80.6,90.5,85.3,69.4
wooden_beads,82.6,79.8,73.3,98.4,41.2,45.8,91.2,85.9,68.0,48.2,76.8,91.0,84.1,94.0,86.2,75.1
woodstick,75.7,56.3,56.2,97.5,45.9,51.7,83.6,85.3,70.7,55.0,68.7,81.8,80.2,95.2,85.6,74.4
zipper,86.2,90.5,86.1,95.5,22.1,26.0,86.7,73.4,48.8,31.8,87.1,94.0,84.7,78.4,59.2,49.6
Mean,74.2,70.8,68.9,94.9,27.9,35.4,83.1,87.6,76.1,62.7,78.2,88.5,84.5,82.1,70.1,57.1
